"student_id","school_id","grade_level","gender","race_ethnicity","school_poverty_rate","gpa","suspensions","school_safety","teacher_support","parent_involvement"
114,"S211",9,"female","White",41,3.01,0,6,4.1,3
115,"S373",12,"female","Other",93.5,2.95,0,7.6,4.1,3.9
116,"S044",12,"female","Black",29.1,3.62,0,9.3,6.2,2.1
117,"S074",12,"male","Black",24.2,2.89,0,4.7,7.2,3.9
118,"S022",9,"female","Other",87.8,2.42,0,5.2,3.2,3.3
119,"S205",10,"female","Latino",60.6,2.05,1,5.9,8.5,3
120,"S117",11,"female","Other",29.5,2.45,0,7.3,7.4,4.5
121,"S106",10,"nonbinary","Asian",90,3.39,0,5,7.6,5.2
122,"S236",12,"male","White",32.3,2.7,0,4.3,4.4,6.1
123,"S409",9,"female","Black",11.7,3.14,0,7.4,5.6,3.8
124,"S043",12,"female","Asian",81.8,2.79,1,6.6,5.1,5.3
125,"S344",10,"female","Latino",78.5,2.68,1,6,6.4,6
126,"S068",12,"nonbinary","Black",90.8,3.07,1,5.3,4.9,3.7
127,"S237",9,"male","Latino",25.2,3.3,0,6,5.2,3.8
128,"S033",9,"male","Other",71.7,3.1,0,6.5,4.6,4.6
129,"S100",12,"male","Asian",38.9,3.02,0,3.8,5.4,3.9
130,"S093",12,"female","Asian",83.5,3.41,0,5.2,7.5,3
131,"S257",9,"male","Latino",28.1,3.19,0,4.3,5.5,7.1
132,"S058",9,"female","Other",87.5,2.51,0,6.2,4.6,3.7
133,"S043",10,"female","Latino",53.3,3.48,0,8.4,5.8,7.5
134,"S055",10,"male","Latino",88.9,3.27,2,4.6,5.1,6.5
135,"S069",10,"male","Asian",63.9,2.76,0,4.6,4.9,3.5
136,"S344",10,"male","Black",36.5,2.05,0,4.9,6.5,5.5
137,"S058",9,"male","White",82.9,1.93,0,6.6,5.9,6.7
138,"S004",10,"female","Asian",41.2,2.54,0,6.1,6.7,1.8
139,"S135",9,"male","Other",23.9,2.89,0,4.8,6.5,6.7
140,"S135",12,"male","Black",24.7,2.46,0,8.9,6.4,7.2
141,"S323",11,"female","White",93.4,2.81,0,6.8,7.7,2.7
142,"S295",9,"female","Asian",30.4,2.63,1,4.7,6.5,3.9
143,"S257",11,"male","Latino",80.9,2.15,0,4.3,7.3,4.1
144,"S171",11,"male","Latino",45.7,2.73,1,8.4,5.6,3
145,"S498",12,"nonbinary","Other",28,3.67,0,7.1,6.7,4.3
146,"S174",11,"female","Asian",33.4,3.71,0,10,6.9,4.8
147,"S258",9,"female","Black",92.1,3.68,1,8.5,6.6,3.3
148,"S050",11,"female","Asian",38.2,2.8,0,5.2,6.4,6
149,"S338",12,"male","Asian",84,3.81,0,5.4,6.1,4.8
150,"S354",9,"male","White",25.1,2.63,0,8.5,7.8,4.6
151,"S034",10,"male","Asian",15.5,3.45,0,5.5,6.3,4.5
152,"S197",12,"female","Asian",13,2.3,0,6.4,7.9,4.7
153,"S308",9,"female","Asian",38.6,3.39,0,6.1,5.2,3.4
154,"S200",11,"female","Asian",94.4,2.11,1,8.4,6.9,5.2
155,"S171",10,"female","Asian",55.5,1.84,0,5.1,4.6,2.9
156,"S244",11,"male","Other",64.9,2.34,0,6.4,4.1,5.2
157,"S470",10,"female","White",39.1,3.16,0,7.7,5.6,2.6
158,"S327",10,"male","Asian",71.7,2.57,1,1,4.1,4.5
159,"S197",10,"female","Black",22.6,2.3,0,4.5,4.9,1.6
160,"S389",11,"male","Black",65.6,2.86,0,4.2,7.8,4.6
161,"S288",10,"male","Latino",12.3,3.87,0,7.7,7.7,2.7
162,"S461",11,"female","White",25.9,1.56,0,5.5,4.6,5.9
163,"S252",11,"male","White",38.3,2.23,1,6.3,5.3,4
164,"S233",9,"male","Other",87.4,2.79,0,8.9,6.8,5.1
165,"S241",12,"female","Asian",37.9,2.95,1,6.4,4.4,5.9
166,"S298",10,"male","Other",20.2,2.63,2,3.9,8,3.9
167,"S433",12,"male","Other",49.7,2.61,2,4.1,6,4.1
168,"S027",9,"female","White",80.4,3.18,0,4.2,6.9,4.9
169,"S044",9,"male","White",68.7,3.05,0,7,5.9,5.1
170,"S131",12,"female","Asian",74.1,2.01,0,5.7,5.6,3.8
171,"S089",9,"female","White",70.2,3.1,0,4.3,5,4.4
172,"S049",10,"female","Asian",78.4,3.3,0,4.5,4.6,7.1
173,"S011",12,"female","Black",37.8,3.47,0,6.7,7.1,6.7
174,"S112",11,"male","Other",82.2,2.84,0,6.5,5.4,5
175,"S332",9,"male","Asian",26.3,2.61,0,4.6,6.5,4.8
176,"S178",12,"female","Black",21.7,2.61,1,5.3,6.2,5.5
177,"S238",9,"female","Latino",59.1,2.99,0,6,8.6,5.3
178,"S147",9,"male","White",50.6,3.35,0,6.7,5.3,5.1
179,"S324",11,"male","Latino",57.2,2.26,0,4.5,7.3,0.8
180,"S406",9,"male","Black",76,2.81,0,6.9,6,6.6
181,"S371",11,"male","White",75.9,2.16,1,4.1,5.2,4
182,"S026",12,"female","Latino",84.4,3.13,0,5.5,7.9,5.8
183,"S012",12,"female","Black",25,3.33,0,5.1,6.5,5.4
184,"S221",10,"female","Other",65.1,2.65,1,3.4,6.4,6.9
185,"S009",12,"male","White",53.7,2.8,0,2.8,4.5,4
186,"S463",12,"male","Black",76.6,2.38,0,4.9,6.2,9.5
187,"S424",11,"male","Latino",38.2,2.12,0,6.1,5.7,4.7
188,"S016",9,"female","Latino",81.8,2.53,1,4.5,6.5,4.4
189,"S441",12,"male","White",21.9,3.13,0,5.3,7.7,4.9
190,"S393",10,"male","Other",17.3,2.78,1,5.3,6.6,7.4
191,"S077",11,"female","White",86.2,3.15,0,6,5.6,4.1
192,"S414",11,"male","Latino",12.3,3.05,0,6.1,7.3,9.1
193,"S053",12,"male","Latino",78.5,2.53,1,8.7,6.4,7.6
194,"S336",12,"female","Latino",26.1,3.63,1,5.3,7.1,4
195,"S465",9,"male","White",56.2,2.7,0,5.8,5.7,8.1
196,"S298",10,"female","Black",31.2,2.12,0,4.5,5.6,3.2
197,"S213",9,"male","Asian",78,1.98,0,5.2,6.6,5.1
198,"S280",12,"female","Asian",38.3,3.19,1,7.6,8.7,6.5
199,"S145",12,"female","Latino",45.7,2.72,0,6,5.2,6.1
200,"S039",11,"female","Asian",29.1,1.23,0,8.1,7,6.5
201,"S025",11,"female","White",89.7,2.4,0,3.9,6.6,3.2
202,"S272",12,"female","Latino",27,3.16,1,7.4,6.5,7.8
203,"S487",10,"male","Latino",31.1,2.44,0,8.1,6.2,7.9
204,"S482",10,"male","Other",40.8,1.6,1,5,6.4,1.5
205,"S276",9,"male","Other",63.1,2.21,0,6.2,6.5,5.1
206,"S434",12,"female","White",25.1,3.06,0,4.7,7.2,5.7
207,"S001",12,"male","White",45,2.8,0,6.9,6.6,6.3
208,"S114",11,"male","Latino",93.7,1.84,1,2.7,5.5,7.4
209,"S390",12,"male","Black",71.9,2.28,0,6.6,5.2,2.5
210,"S223",9,"male","Other",29.7,1.78,2,6.1,6.8,5.4
211,"S347",10,"male","Black",32.6,2.43,1,5.8,5.7,3.1
212,"S436",12,"female","Black",39.7,3.46,0,4.5,7.2,3.1
213,"S107",11,"male","Black",45.7,3.2,0,7.6,7.4,5
214,"S315",9,"female","Latino",11.8,2.69,0,4.9,5,6.8
215,"S461",12,"female","Black",81,2.63,0,6.9,5.2,4.5
216,"S242",11,"male","White",69.2,2.05,0,7.3,6.5,6
217,"S347",10,"female","Latino",55.9,2.34,0,4.3,5.4,6.3
218,"S052",10,"female","Asian",63.2,3.44,0,3.1,3,3.5
219,"S130",11,"female","Asian",51.8,3.01,0,8.3,4.9,6.1
220,"S336",9,"male","Black",85.9,2.57,0,6,7.4,5.5
221,"S064",11,"female","Asian",39.2,3.22,0,6.7,6.3,8.6
222,"S107",10,"female","Latino",83.6,3.14,0,5.5,7,6.7
223,"S234",9,"male","Black",59.1,2.86,0,9.1,7.3,7
224,"S447",10,"female","Asian",35.2,2.03,0,5.6,4.5,4.4
225,"S431",12,"female","Latino",19,2.86,0,6.6,5.7,3.3
226,"S169",10,"male","Black",62,3.03,0,5,5.8,6.2
227,"S270",11,"male","Latino",26.7,2.48,0,6.7,7.7,7
228,"S461",11,"female","Black",37.4,3.1,0,3.5,5.1,9
229,"S146",12,"male","White",61.3,2.84,0,4.8,6.4,5.9
230,"S476",10,"female","Other",85.3,2.91,0,3.3,7.1,4.8
231,"S138",12,"male","Latino",84.5,2.44,1,5.6,5.6,3.3
232,"S262",12,"female","Other",62.9,3.65,1,5.2,7.6,8.5
233,"S043",10,"female","Other",77.4,3.09,1,7,5.6,4.7
234,"S430",11,"male","Asian",73.8,2.31,2,4.1,6.9,7.8
235,"S330",10,"male","Black",19.4,3.2,1,6.6,6.6,3.3
236,"S322",10,"male","Latino",45.4,3.92,2,8.1,6.2,8.9
237,"S174",12,"male","Other",29.6,3.35,0,6.5,6.3,6.1
238,"S436",11,"male","White",64.4,2.29,1,5.4,7.9,2.4
239,"S218",12,"female","Asian",76.8,3.7,1,8.8,8.3,5.9
240,"S232",12,"male","Other",75.7,2.71,1,4.4,6.5,6
241,"S435",9,"male","Black",66.7,2.46,2,6.5,6.1,6.8
242,"S109",9,"female","White",27.9,2.59,0,4.7,6.5,5.3
243,"S162",11,"male","Black",12.2,2.51,0,6.2,5.6,4.7
244,"S116",11,"female","Asian",28.9,2.49,0,6.2,3.6,1.3
245,"S032",12,"female","Latino",89.8,2.4,0,5,5.2,5.7
246,"S282",12,"female","White",19.3,2.48,0,8,6.1,4.6
247,"S386",12,"male","Black",62.8,3.59,1,7.3,5.8,0.5
248,"S266",9,"female","Other",15.6,3.21,1,5.4,6.7,3.9
249,"S412",10,"female","Black",15.5,2.94,2,6,8.1,5.4
250,"S063",12,"male","White",65.2,2.33,1,3.2,4.3,4.7
251,"S104",12,"male","Other",87,2.85,1,5.6,7,5.6
252,"S017",12,"male","Black",51.2,2.8,0,6,7.6,2.4
253,"S439",12,"female","Black",49.6,3.26,1,5.1,5.9,6.7
254,"S069",9,"male","Other",19.2,3.92,1,6.8,7.3,8.3
255,"S396",11,"male","Other",23.3,3.23,0,6.4,5.9,5.4
256,"S192",10,"male","Other",19.3,2.22,0,5.2,6.5,5.1
257,"S477",10,"female","Latino",32,2.35,0,6.5,5.1,5.4
258,"S427",9,"male","Latino",22.1,2.94,0,4.9,6.1,1.8
259,"S389",9,"female","Black",46.7,2.66,2,7,8.5,6.6
260,"S023",10,"female","Black",19.3,2.28,0,6.6,6.6,4.5
261,"S045",9,"female","Other",35.1,1.85,0,6.7,3.5,7
262,"S363",9,"nonbinary","White",60.6,3.1,1,8,6.5,4.5
263,"S264",12,"male","Asian",49.9,3.04,0,6.9,5.1,5.3
264,"S159",12,"male","White",32.2,2.72,0,7.6,4.1,2.7
265,"S048",10,"male","Other",10.2,2.88,1,8.6,8.4,6.7
266,"S406",12,"male","White",83.5,3.03,1,5.5,7,3.4
267,"S384",10,"male","White",36.9,2.57,1,6.2,5.7,2.5
268,"S138",12,"female","Black",33.7,2.73,1,7.8,3.7,5.2
269,"S112",11,"female","White",44.8,2.59,0,6.9,6.2,1.8
270,"S013",11,"nonbinary","White",32.6,2.44,2,6.4,8.1,3.3
271,"S228",9,"female","Asian",19.1,2.81,1,8.3,5.4,6.7
272,"S285",10,"male","Asian",52.3,1.76,0,8.1,5.7,6.2
273,"S006",12,"nonbinary","Other",59.5,3.26,0,3.2,6.9,2.9
274,"S464",11,"female","Black",70,2.56,0,8.3,6.4,3
275,"S365",10,"female","Latino",53,2.29,1,5.8,8.2,4.8
276,"S142",9,"female","Other",65.9,3.26,0,7.3,7.8,5.3
277,"S147",11,"female","Other",92.2,3.25,0,6,4.3,5.9
278,"S413",12,"male","Latino",49.3,3.23,0,4.9,7.6,5.1
279,"S054",12,"male","Black",61.8,2.76,0,5.8,4.3,4.5
280,"S273",9,"female","Latino",51.9,2.41,1,5.1,5.5,4.7
281,"S018",10,"male","White",29.2,3.27,0,5.9,6.4,4.5
282,"S321",9,"female","Latino",22.6,2.34,0,5.5,7.3,5.7
283,"S001",12,"female","Latino",63.9,3.45,1,5.3,7.2,7.4
284,"S370",10,"female","Other",80,3.05,0,4,7,6.4
285,"S168",9,"female","White",64.7,3.51,0,9.2,8.1,4.1
286,"S035",10,"male","Other",39,1.66,0,6.4,5.2,4.2
287,"S177",11,"male","Black",36.7,2.73,0,5.1,3.5,1.5
288,"S195",10,"male","Asian",95,1.84,0,5.9,6.1,4.7
289,"S335",12,"male","Latino",69.8,2.82,1,5.5,7.5,4.5
290,"S006",11,"male","White",51,3.69,1,5.7,7.9,7.1
291,"S182",11,"female","Latino",61.2,2.69,0,6.3,6.2,4.5
292,"S410",10,"female","Black",30.3,2.94,0,7.7,6.1,5.2
293,"S067",9,"female","Black",94.1,2.75,0,5.3,7.2,6.4
294,"S130",11,"male","Black",20.1,3.03,0,5.6,8.7,10
295,"S464",11,"male","Latino",18.3,2.89,0,6.5,6.6,6.7
296,"S075",12,"female","Latino",59.4,2.95,0,2.8,7.8,6
297,"S050",10,"female","White",75.2,2.72,2,3.9,6.1,3.5
298,"S248",12,"female","Latino",64.8,2.25,0,6.6,6,4.2
299,"S255",9,"male","Asian",32,3.09,0,4.3,5.6,2.3
300,"S475",9,"female","Asian",61.6,3.92,0,6.3,4.9,6.6
301,"S021",11,"male","Latino",69.3,2.36,0,7.2,5.4,5.4
302,"S398",9,"female","Asian",46,2.87,1,5.5,6.3,5.8
303,"S327",9,"female","Asian",28.3,2.8,1,4.1,5.9,4.8
304,"S272",9,"male","Black",34.6,2.78,0,6,6.5,5.5
305,"S034",12,"male","Asian",66.2,2.21,0,9.3,6.2,4.1
306,"S378",11,"male","Latino",57.4,3.51,0,5.4,7.8,5
307,"S467",9,"male","Other",82.8,3.64,0,8.2,9.7,4.6
308,"S093",11,"female","Latino",10.9,2.57,0,9.2,7.5,4.7
309,"S458",9,"female","Latino",81.8,2.73,0,4,7,5.4
310,"S160",9,"female","White",91.8,3.63,0,4.9,6.2,5.2
311,"S174",9,"male","White",50.4,2.32,1,6.3,7.4,5.5
312,"S296",10,"male","Latino",67,2.46,0,6.3,6.3,4.9
313,"S264",11,"male","White",20.8,2.81,0,5.8,6.4,5.1
314,"S223",12,"female","Black",75.8,3.65,0,10,3.6,5.8
315,"S013",12,"female","Asian",75.7,2.71,0,5.3,6.3,5.3
316,"S363",12,"female","White",17.9,2.72,1,7.1,8.2,1.9
317,"S469",9,"nonbinary","White",16.6,3.14,1,6,6.2,3.4
318,"S129",11,"male","Other",72.4,3.18,0,6.8,6.2,2.5
319,"S143",12,"female","Latino",58.3,2.39,0,9.1,7.1,8.2
320,"S211",9,"male","Other",41.7,3.14,0,5.3,6.9,3.6
321,"S023",10,"female","Asian",91.9,1.57,0,9.6,5.7,5.7
322,"S407",9,"male","Black",83.2,2.67,1,6.9,8.2,4
323,"S476",11,"female","Other",16.8,2.37,0,5.1,6.4,3.3
324,"S468",11,"female","White",22.6,2.29,0,5.1,7.4,6.3
325,"S126",12,"male","Asian",15.2,2.82,0,5.6,8.8,6.4
326,"S422",11,"female","Other",77.2,2.82,0,4.1,5.8,2.8
327,"S210",10,"female","Latino",35.5,2.83,0,4.3,3.8,7.6
328,"S245",10,"male","Other",31.9,2.44,0,6.8,7.7,4.6
329,"S263",11,"female","White",29.7,3.27,1,4.8,6.2,5.7
330,"S256",10,"female","White",63.6,3.29,0,5.5,2.3,6.8
331,"S196",9,"female","Asian",49.3,3.46,0,5.5,7.2,4.2
332,"S194",9,"female","Other",75.4,3.32,0,6.8,6.2,2.4
333,"S121",11,"male","Other",79.5,3.19,0,6.4,5.4,6.3
334,"S437",11,"male","White",27.3,1.47,0,7.3,6.7,5.1
335,"S390",10,"male","Black",79.1,3.06,0,6.6,6.6,5
336,"S207",11,"female","Latino",14.5,3.24,1,6.7,6.9,5.4
337,"S423",9,"female","Other",73.8,2.59,0,6.9,8.8,6.8
338,"S110",10,"male","Latino",36,3.19,1,6.4,4.7,4.5
339,"S410",11,"male","Asian",30.6,3.42,1,2.7,6.4,5.1
340,"S176",12,"female","Other",72.3,3.19,0,7.9,5.8,9.4
341,"S137",10,"male","Black",44.4,3.06,0,4.9,5.9,7.5
342,"S267",10,"male","Latino",50.4,2.98,0,3.8,5.2,4.5
343,"S087",9,"male","White",25.8,2.22,1,5,7.1,1.6
344,"S483",11,"female","Other",81.7,1.65,2,4.1,6.1,2.8
345,"S395",10,"male","White",77.6,2.07,0,6.7,7.3,3.5
346,"S376",12,"male","Latino",62,2.77,0,6.6,7.1,3.7
347,"S228",12,"female","Latino",78,3.42,0,8.3,8,4.7
348,"S223",12,"female","Other",45.8,3.24,0,4.6,5.8,7.6
349,"S172",9,"male","Asian",16.7,2.43,0,8,5.8,6.7
350,"S450",12,"female","Latino",12.5,3.6,0,5.3,6.8,6.2
351,"S311",9,"male","Latino",46.5,3.54,1,5.3,5.8,1.8
352,"S180",9,"female","Black",86.1,2.92,0,8.1,4.7,7.2
353,"S428",10,"male","Latino",10.3,2.95,1,5.9,7,3.7
354,"S100",11,"female","White",32.1,2.55,0,4.8,8.5,5.6
355,"S360",12,"male","Black",65,3.46,0,5.7,8.3,2.2
356,"S038",12,"female","Asian",94.5,3.35,0,5.3,5.6,2.7
357,"S433",10,"male","Other",51.3,2.59,0,5.3,5.8,5.7
358,"S292",11,"male","Black",71.8,3.02,0,4,7.2,5.4
359,"S398",11,"female","Other",27.5,3.33,0,7.2,7,6.2
360,"S455",9,"male","Other",36.5,2.72,0,5.2,6.3,6.2
361,"S009",12,"male","Asian",43.2,2.96,0,5.9,6.3,3.9
362,"S444",11,"female","Black",62.4,2.38,0,6.1,7.3,3.6
363,"S307",12,"male","Asian",83.8,3.56,0,3.7,5.5,7.9
364,"S159",11,"female","Black",49.1,2.46,0,7.1,8.2,4.1
365,"S278",11,"male","Black",20.8,2.85,2,7.3,6.4,6
366,"S496",9,"female","Black",84.6,2.84,0,6.3,4.7,6
367,"S077",12,"male","Asian",69.3,3.19,0,4.4,6.6,7.2
368,"S376",12,"male","Latino",39.2,2.61,0,6,7.5,6
369,"S490",12,"female","Black",76.7,3.18,0,4.4,3.3,5.1
370,"S449",12,"male","White",68.9,2.07,0,6.1,5.7,3.6
371,"S435",11,"male","Black",80.6,3.03,0,7.6,4.9,3
372,"S219",12,"male","Asian",57.2,2.52,0,6.5,8.2,4.6
373,"S012",9,"female","White",66.1,3.65,0,6,7,2.5
374,"S389",12,"male","Other",53.7,3.09,1,4.7,6.9,6.6
375,"S115",9,"female","Other",70.7,2.61,0,7.9,5.8,6.1
376,"S164",9,"male","Asian",39.2,2.9,0,6.9,3,7.6
377,"S264",10,"female","Other",23.4,2.78,0,6.2,7,4.8
378,"S343",9,"female","Black",64.5,2.95,2,5.4,6.5,3.6
379,"S326",9,"male","Latino",78.6,2.56,1,6.5,5.3,3.1
380,"S470",11,"female","Black",76.1,3.34,0,5.1,5.5,6.2
381,"S149",10,"female","Other",70.3,2.74,2,6.1,7.4,3.5
382,"S060",10,"male","Black",59.8,3.16,0,4.6,4.3,5.1
383,"S233",12,"female","Other",87.9,3.48,0,4.8,6.8,3.4
384,"S228",12,"male","Other",35.6,2.22,0,9,5.9,6.4
385,"S407",12,"female","Asian",84.3,2.86,1,5,7.2,5.2
386,"S240",10,"female","Other",77.9,3.28,0,6.9,6.2,3.7
387,"S498",11,"male","White",53.4,3.68,0,6.7,5.9,4.8
388,"S212",12,"female","White",79.6,3.02,0,7.8,5.2,3.3
389,"S205",11,"male","White",90.8,2.89,2,7.4,8.1,4.4
390,"S009",10,"female","Black",69.6,2.78,0,6.2,7.2,5.5
391,"S104",10,"male","Asian",85.2,1.4,0,4.9,7.2,4.5
