"state","county","precinct_id","year","reg_voters","turnout","dem_votes","rep_votes","median_income","pct_bachelor","race_black","race_hispanic"
"AK","x","P49785",2020,846,544,275,269,49195,13.5,45.1,70
"SC","p","P26035",2020,805,615,286,263,70137,13.3,23.7,42.1
"IN","c","P23493",2012,845,589,323,242,47958,73.9,42.1,72.3
"KS","m","P10574",2020,874,626,290,282,51911,51,68.5,35.8
"ME","t","P37172",2024,849,613,291,279,76761,43.7,47.2,60.1
"HI","v","P47803",2016,887,607,299,278,47957,32.8,68.9,70.4
"OR","x","P27644",2020,839,608,304,299,51271,77,20.5,48.9
"NY","n","P15257",2012,901,586,283,272,54695,78.8,18.9,53.5
"RI","s","P04841",2016,891,609,324,280,56235,27.6,13.6,78.8
"AL","z","P18875",2024,851,619,303,288,48741,29.6,33.4,37.2
"OH","s","P42208",2020,861,604,280,273,56972,21.2,23.4,4
"UT","t","P43920",2020,848,573,288,286,61265,53.9,61.1,7.3
"HI","g","P10349",2016,859,625,307,303,64912,20.8,46.6,60.5
"MO","t","P08315",2024,868,598,254,267,46945,57.7,43.7,74.4
"SD","b","P36966",2024,827,623,317,260,36876,62.2,20.6,44.2
"VT","i","P46856",2024,880,603,312,305,51064,67.3,57.2,17.9
"AZ","e","P00218",2024,944,603,275,268,54139,20.1,19.9,74.9
"WV","s","P49989",2016,898,588,286,258,60097,42,26.4,27.6
"NY","x","P15487",2016,850,646,292,259,45861,54.3,58.4,52.8
"VT","l","P00218",2024,842,603,291,282,54883,12.7,69.4,30.4
"SD","d","P00985",2016,832,596,278,283,55579,10.4,3.1,74.1
"TX","v","P27918",2016,833,652,295,280,61052,21.6,35.9,20.9
"VA","y","P15132",2024,864,574,300,271,50104,38.2,60.6,20.7
"LA","e","P18195",2012,853,628,291,275,51030,57.5,66.6,75.1
"MD","y","P03378",2020,831,615,301,280,64482,20.3,11.8,75.6
"KY","a","P25793",2012,863,617,302,283,62302,66.5,26.3,7.6
"WA","z","P20595",2024,848,643,296,277,55850,24.1,27.5,32.5
"KY","d","P42101",2012,843,612,324,276,56662,36.3,33.5,48.8
"AK","g","P17956",2012,787,616,292,265,61950,12.3,39.9,20
"HI","z","P49940",2020,885,633,306,264,63050,41.9,65.4,40
"ME","o","P41619",2012,845,607,306,267,69098,70.5,62.8,67.1
"NV","v","P43767",2012,825,618,290,275,40426,60.1,8.6,14.2
"AZ","n","P14301",2016,887,614,300,297,66842,47.6,34.3,20.9
"NY","c","P18063",2012,862,552,281,294,74982,59.3,61.8,8.3
"CO","l","P31039",2016,827,619,280,303,56139,30.1,28.3,22.9
"CT","h","P10032",2012,875,596,277,264,67475,27.6,9.6,62
"IA","c","P27886",2012,807,609,328,256,69412,26.3,24.4,77.4
"MN","l","P47862",2020,817,535,314,290,26391,21.6,34.4,63.4
"AK","y","P33170",2024,855,616,310,311,62712,63.1,34.1,30.6
"TN","c","P29132",2020,870,601,331,316,54304,54.1,38.6,23.9
"MA","b","P19261",2012,832,631,303,288,65638,57.9,40.8,70.8
"IA","o","P09640",2012,825,584,286,294,66830,37.1,7.3,47.1
"MT","t","P21482",2012,843,603,287,279,62176,45.4,18.5,67.1
"RI","o","P32680",2024,817,593,276,237,50607,71.3,44.1,2.8
"CT","k","P11618",2016,849,567,313,291,65192,12.4,66,31.2
"CO","q","P24640",2016,889,640,278,289,45949,39.6,27.7,11.7
"NC","y","P30909",2024,807,586,275,267,69644,66.9,1.1,61.5
"LA","r","P02348",2020,867,568,295,273,40949,51.8,58.2,67.7
"TN","h","P02404",2020,833,576,294,264,49313,65.8,34.8,76.4
"IN","a","P13340",2020,863,571,290,279,43333,60.5,11.5,33.8
"CT","b","P01342",2012,896,589,275,278,45173,48.8,51.4,25.4
"DE","n","P29995",2024,829,583,295,248,47874,53.7,40.2,0.2
"FL","q","P42025",2012,823,548,293,279,66063,26.7,44.2,59.3
"NV","u","P04629",2024,836,573,315,270,66901,32.5,43.7,32.6
"MN","q","P03638",2012,911,615,304,285,60901,48.3,38.4,38.2
"AK","x","P30382",2024,848,650,293,302,55952,70.3,9,17.5
"GA","j","P33150",2020,834,606,301,264,59837,73,68.5,41.8
"MT","c","P15079",2016,867,597,281,308,56933,13.4,53.2,17.1
"KY","r","P15666",2020,860,569,290,280,65115,63.9,61.6,16.1
"OR","p","P48909",2016,862,602,320,295,46174,18.7,34.6,78.5
"MT","f","P45671",2016,827,612,286,276,49280,40.8,37.7,26.4
"MT","f","P36969",2020,814,605,313,309,56255,26.5,31.9,61.1
"GA","a","P01266",2016,895,598,288,288,49177,18,45.4,21
"VA","x","P43539",2020,927,593,314,273,48476,22.4,6.5,45.3
"MS","b","P27060",2020,815,574,295,303,64082,36.3,11.9,71.3
"AZ","i","P23174",2012,858,633,331,290,42861,78.6,25.6,48.7
"LA","k","P18020",2012,782,612,298,287,57967,55.6,60.6,54.6
"SC","k","P02571",2016,863,587,295,272,49700,14.9,33,71.1
"MO","v","P43962",2024,875,572,299,265,47882,64,14.9,78.3
"ME","s","P06657",2024,882,605,299,278,46862,51.2,4.7,16
"MA","w","P20976",2024,877,605,292,277,65524,59.5,22.4,42.9
"CT","i","P34686",2016,798,592,316,272,42316,56.2,31,43.7
"NJ","l","P15818",2016,840,581,289,259,57847,51.8,47.6,57.2
"IL","f","P04227",2020,821,586,319,261,62134,74.9,58.9,8.7
"CA","y","P49220",2024,832,601,290,280,58243,50,35.4,2
"GA","d","P22554",2024,828,575,297,279,43900,66.9,23.3,57.6
"ID","i","P39942",2024,838,601,301,256,51820,62.2,27.5,47
"CT","s","P33050",2020,775,615,289,285,54881,39,41.4,31.2
"OR","m","P32956",2016,891,604,344,283,42613,74,37.8,77.2
"NV","o","P19633",2012,874,603,311,276,67889,63,45.6,18.3
"NH","g","P22542",2020,822,556,307,309,54001,34.5,40.5,3.1
"MO","v","P39838",2024,863,595,268,307,53682,39,46.8,11.9
"WV","l","P06526",2020,832,569,289,257,49703,20.8,49.2,0.5
"AZ","x","P19021",2012,857,581,298,257,54242,63.4,33.5,51.9
"MS","d","P24211",2016,856,593,319,265,61428,11.6,52.4,27.5
"SD","f","P12081",2016,817,624,308,271,59085,45.7,69.2,33.9
"IN","x","P45697",2012,842,604,300,318,53655,68.9,12.8,29.7
"NV","d","P05783",2016,873,580,319,288,48510,44,46.1,21.8
"ID","g","P03858",2024,889,551,307,286,73521,58.2,31.3,78.9
"NJ","r","P16380",2020,865,597,286,289,65904,66.1,20.1,28.4
"ND","r","P44470",2016,908,583,288,275,59081,59.5,33.5,75.2
"KY","e","P29221",2012,850,580,297,285,49417,42.9,44.9,71.5
"IN","x","P33116",2012,846,594,322,276,60706,55.4,39.4,43.7
"ID","f","P32098",2016,856,605,307,276,64893,42.1,26.1,67.8
"MI","n","P39546",2016,853,629,314,268,61570,15.5,44.1,8.5
"VT","c","P03210",2016,823,557,293,274,59092,33.8,44.8,66.2
"AZ","w","P30391",2024,899,597,307,271,58040,27.4,22.3,41.3
"IA","e","P29012",2016,872,599,313,311,50427,64.8,46.5,8.3
"RI","a","P12241",2020,868,606,318,275,53896,75.3,16.5,35.5
"MT","j","P31965",2016,858,611,299,265,68514,58.6,56.3,12.3
"MD","s","P19338",2016,859,580,308,248,54990,47.5,62.7,26.8
"MS","l","P12483",2016,837,579,303,281,51640,24.5,2.9,28.2
"VA","x","P09917",2024,856,642,285,268,65405,73.8,28.6,65
"NC","s","P49577",2016,847,568,295,257,50518,78,66.3,42.4
"NE","n","P32691",2016,841,600,287,313,68526,23.5,55.9,42.4
"NM","p","P45567",2024,815,600,303,287,55355,53.6,43.8,61.3
"VT","t","P28498",2020,873,587,288,255,53034,55.1,1,38.7
"OH","q","P48974",2016,814,614,367,285,39030,10.9,49.4,21.5
"VA","u","P38034",2024,835,597,324,270,59968,73.5,66.6,59.6
"IL","j","P19294",2016,873,608,294,257,44674,31.6,23.9,23.6
"WA","b","P27325",2016,850,602,307,284,40688,40.2,42.8,73.4
"CA","i","P27971",2024,849,621,292,289,61515,50.3,42.7,69.7
"MO","h","P19798",2020,814,604,281,267,39751,13.5,39.6,32
"NJ","i","P06156",2020,868,588,293,268,50586,34.7,45.3,66.7
"DE","g","P25280",2012,860,567,290,281,45428,57.5,16.5,8.2
"SC","j","P19193",2012,874,659,313,263,70720,32.5,53.5,56.8
"NJ","e","P42646",2020,807,553,307,265,55103,58.9,36.8,8.4
"MI","y","P39086",2024,862,621,298,284,47019,12.4,56.5,24
"PA","v","P08571",2024,793,583,324,287,44694,18,46.5,51.7
"AZ","b","P36545",2016,870,583,310,293,41090,24.1,67,58.9
"MA","z","P04571",2024,844,590,319,263,64546,41.8,42,1.3
"ND","a","P28674",2020,860,628,311,255,65843,61.2,16.4,18.6
"MN","v","P01597",2016,847,593,300,285,42336,54.5,31.6,3.2
"OH","v","P34436",2012,820,577,318,294,57078,34,42.7,17.6
"KY","b","P27602",2020,870,573,333,276,56514,20.4,43.6,8.4
"OH","d","P32661",2016,870,548,313,266,71154,43.4,46.5,29.8
"IA","p","P41063",2024,874,601,269,286,56711,28.7,38.2,32.1
"PA","e","P41871",2016,811,564,297,295,71431,25.3,28.2,32.7
"MI","k","P17589",2020,885,571,290,253,52175,35,25,71
"IA","l","P28418",2012,837,546,285,280,44108,57.1,69.5,61.6
"MI","x","P48516",2024,862,621,307,263,56432,22.1,7.5,25
"ND","g","P26575",2012,814,581,291,283,57925,11.2,38.8,56.9
"DE","t","P04511",2012,821,602,293,281,52148,40,37.9,27.7
"MS","d","P40888",2012,798,619,282,324,55039,59.2,24.2,73.8
"GA","r","P00446",2024,810,586,304,274,54842,59.4,5.2,33.1
"NH","x","P15168",2024,850,624,318,279,56761,78,22.7,75.8
"CO","b","P10337",2016,850,559,288,294,53887,15.5,38.3,32.9
"MT","p","P02044",2012,873,628,297,292,54600,33.1,56.7,31.3
"MS","v","P38188",2024,856,619,273,289,49738,44.7,53.1,72.5
"CT","p","P08866",2024,846,626,277,297,60377,24.8,20.3,30.7
"MT","r","P18092",2020,874,566,283,281,32946,37.3,51.1,36.5
"DE","f","P29779",2016,835,642,313,291,53286,15.6,56.1,69.4
"RI","e","P35822",2024,907,643,267,310,22739,69.6,41.3,51.1
"MA","s","P13889",2024,841,594,298,270,46935,61.1,20.6,2.7
"CA","k","P36988",2024,857,568,271,298,58423,35.3,30.1,62.5
"MT","n","P39382",2016,855,608,318,281,45396,44.1,54.7,59.9
"NC","a","P07825",2016,794,574,298,284,61021,15.5,31.3,56.3
"SD","a","P11385",2012,853,609,294,303,59809,66.7,37.9,60.9
"MT","n","P22570",2012,820,605,297,276,55603,58.4,36.4,31.8
"DE","a","P29102",2012,834,625,315,251,44993,76.1,56.4,57.2
"KS","q","P45623",2024,816,584,312,275,54177,14.3,20.5,21.5
"CO","d","P17414",2024,839,576,289,290,47501,53.9,14.6,50.8
"FL","m","P46207",2020,821,615,311,283,67252,79.7,38.1,29.7
"MD","z","P44948",2016,852,629,309,271,46411,19.5,36.9,57
"NH","k","P26622",2024,817,567,295,250,60368,58.5,45,69.4
"MI","e","P33010",2024,876,639,313,305,73553,68.4,65.6,25.2
"ND","f","P28319",2016,836,589,277,282,63174,74.1,52.3,15.8
"SD","w","P44862",2016,838,563,310,268,43260,12.1,35.3,62.1
"OK","y","P43040",2024,846,610,293,306,57571,20.2,64.9,54.7
"MT","l","P49877",2012,832,602,316,288,64769,78.9,44.9,8.7
"MS","g","P14864",2016,806,580,322,309,60662,80,66,43.6
"MA","v","P20443",2020,916,547,262,320,45112,21.8,46.2,79.2
"MT","x","P32954",2012,802,565,336,279,62789,58.7,68.8,66.9
"SC","i","P20746",2012,848,635,308,293,49135,73.1,63.5,57
"IA","j","P13028",2012,886,573,288,300,63580,30,20.5,15.1
"CA","u","P14236",2012,799,634,317,280,56694,28.3,66.2,48.7
"MN","h","P13011",2016,811,595,319,294,48076,68.5,27.9,0
"NE","u","P24748",2012,857,644,269,279,65354,62,11.8,71.9
"RI","b","P09732",2016,851,622,309,290,53341,47,26,79.4
"AL","u","P42031",2016,840,589,284,295,62779,61.9,42.4,7.1
"KY","c","P33100",2012,867,633,300,284,69147,28.4,35,40.5
"IL","s","P24822",2012,829,620,295,303,53031,57.9,44.7,42.4
"VT","f","P01335",2020,840,600,311,293,52909,38.5,11.2,54.1
"AK","i","P35062",2016,838,611,316,272,54617,66.1,1.2,28.5
"TX","r","P22327",2012,852,640,281,296,73074,27.9,24,32.1
"CO","a","P01553",2020,828,567,298,252,58007,23.2,10.2,12.4
"FL","f","P35275",2020,858,584,290,317,57857,59.9,52.3,27.5
"NJ","s","P44484",2016,840,652,315,264,56857,36,39.6,21.8
"CA","s","P26683",2016,797,608,300,293,34627,23.8,65.2,49.9
"MD","e","P11457",2020,843,630,294,271,61267,55.1,29.1,58.3
"MO","j","P42462",2020,878,642,305,277,43807,16.2,34,8.2
"NH","o","P33355",2024,834,604,285,283,54015,61.1,49.3,40.1
"OK","s","P29003",2016,824,596,296,304,66170,70.9,26.9,39.1
"OH","n","P36841",2016,836,669,319,300,74051,25.7,65.6,9.4
"DE","r","P43013",2020,882,585,284,281,61407,41,51,60.8
"VT","q","P38863",2024,855,633,317,305,64839,28.5,25.7,69.1
"AL","h","P26380",2012,886,584,280,299,55918,36.6,69.6,15.9
"NC","o","P40924",2012,848,578,299,297,47830,37.8,68.2,65
"MT","b","P10437",2024,823,613,280,288,50210,60.9,65,19.5
"TX","c","P49773",2024,899,576,302,268,62969,18.7,18.5,16.9
"TX","y","P32381",2012,821,602,313,294,68884,46.8,17.8,12.6
"IN","f","P49510",2012,863,608,310,294,53683,39.9,48,6.8
"NY","k","P42619",2012,865,575,299,299,50161,21.4,36.8,73.1
"CA","k","P32095",2016,824,593,334,264,52409,47.1,59.8,31.5
"NE","v","P09300",2020,862,615,304,245,54069,67.8,12.2,16.9
"AL","i","P40753",2020,809,604,274,297,55575,31.6,25.7,39.1
"HI","f","P12673",2016,816,628,302,300,48240,60.9,61.1,14.6
"MN","t","P37005",2024,831,630,294,282,61781,57.9,25.4,72.5
"NC","n","P19850",2016,856,603,286,308,47922,52.4,25.2,56.7
"IL","z","P05413",2024,859,588,290,276,39542,62.2,28,31.7
"NJ","h","P37480",2012,848,620,292,260,55768,77.6,60,54.8
"IA","l","P01234",2012,813,589,276,312,49342,52.1,25.1,3.9
"OH","k","P39733",2016,904,624,298,293,55908,10.1,68.2,66.3
"AZ","o","P25254",2024,843,585,287,264,66150,55.8,40.6,73.5
"CA","w","P31349",2016,860,652,309,284,47124,36.5,60.1,64.8
"MT","o","P13856",2016,862,620,310,241,51638,24.1,28.5,66.5
"IN","k","P18049",2012,809,621,284,291,55597,59.6,51.9,47
"MN","v","P05672",2012,847,578,295,296,44943,29.5,42.5,5.1
"AR","q","P19353",2020,813,570,285,280,48494,68.6,20.6,8
"AL","s","P27301",2016,899,565,285,314,33117,63.5,68.9,38.7
"NV","k","P44568",2016,861,647,298,269,45790,79.5,28.3,62.1
"ME","s","P32205",2016,848,588,313,276,65091,40.1,49,1.8
"CT","z","P24993",2024,875,587,304,259,47945,77.9,0.1,55.4
"MT","u","P23583",2020,850,582,332,265,49509,51.6,0.1,35.6
"CA","z","P10300",2016,851,608,290,251,61434,64.3,62.1,77.9
"CA","d","P30617",2020,855,574,290,286,54252,41.1,55.9,44.6
"OH","m","P11315",2020,855,567,301,270,62118,22.9,39.2,55
"CO","s","P14895",2016,854,665,319,300,71695,63.6,43.3,54.5
"SD","i","P06433",2020,839,604,284,293,58527,55.3,63.5,42
"IN","v","P47266",2016,870,575,301,268,54371,58.9,40.2,2.8
"OR","g","P39799",2016,856,612,307,264,54631,55.4,33.3,76.6
"FL","i","P16142",2016,917,587,286,270,53303,42.1,48.4,26.9
"AR","q","P16940",2012,837,573,293,295,51498,27,39.1,3.7
"MA","x","P12507",2012,832,600,306,264,47712,43.8,2.2,8.9
"FL","q","P02028",2016,852,572,267,303,48175,25.7,33.3,29.1
"NJ","t","P41806",2016,862,585,281,257,47442,18.6,34.4,61.6
"CT","n","P49895",2016,847,607,294,276,67883,75.2,9.6,47
"OH","n","P42199",2012,792,595,299,271,58361,70.2,7.2,60.3
"GA","i","P44136",2012,907,637,295,286,52464,60.4,44,12.1
"AR","x","P06204",2012,830,604,258,265,54484,29.6,67.8,2.7
"OH","e","P29604",2016,832,619,285,264,50550,48.6,17.1,55
"NM","o","P03752",2012,852,639,296,270,62923,22.5,25.6,61.5
"CA","m","P46659",2024,822,606,317,257,42639,68.6,11.6,0.9
"ID","m","P06420",2016,866,624,278,265,43306,39.6,38.1,53.2
"SC","s","P34823",2012,837,592,335,264,49996,29.2,27.2,23.2
"NE","g","P02174",2020,857,600,320,284,50964,36.7,23.9,0.6
"MA","z","P09589",2020,849,536,311,261,57908,11.1,33.6,9.8
"OK","l","P40354",2020,849,603,268,298,58511,64,28.1,37.1
"NM","x","P06267",2016,810,595,286,280,63850,37.1,55.6,55.1
"IL","o","P46763",2012,829,614,317,263,54868,61.2,10,77.7
"DE","t","P40672",2024,847,592,296,320,57629,71.3,61.9,58
"UT","d","P47618",2016,882,621,303,264,54511,62.4,13.4,3.8
"SC","h","P44600",2024,820,593,262,274,51745,61.3,64.5,51
"MT","f","P29567",2012,855,596,277,307,50194,53.1,2.7,19.5
"HI","u","P09762",2016,853,641,295,288,69966,24.3,6.2,27.3
"MO","l","P23071",2012,876,626,277,297,48447,66.1,53.1,42.7
"SD","y","P37055",2020,889,618,302,298,59429,44.9,32.1,56.9
"IN","y","P31730",2024,884,621,302,259,46488,17.9,59,0.5
"MI","x","P41078",2012,878,631,304,278,56401,36.6,57.2,12.7
"NV","n","P25568",2020,890,576,305,260,61882,13.9,61.2,15.2
"LA","b","P45873",2012,845,585,314,262,66547,61.8,63.1,42.7
"CA","f","P10130",2012,837,572,309,262,62059,71.4,51.3,5.5
"CT","h","P13035",2020,837,587,296,292,55897,28.6,39,63.6
"FL","r","P05805",2024,863,586,323,291,62446,49.8,59.5,75.6
"PA","p","P48529",2016,849,582,293,269,50935,67.8,36.2,42.7
"IN","g","P42101",2016,906,602,271,266,45890,13.8,2.6,13.6
"AR","q","P26126",2012,812,581,301,248,51166,59.9,21.2,48
"UT","e","P47593",2016,877,612,283,264,50932,48.8,65.7,11.8
"OK","g","P22894",2020,867,608,277,268,69686,37.9,63.3,9.1
"WA","s","P07185",2020,830,638,310,266,64247,35.9,29.9,6.4
"MN","c","P48498",2016,871,578,306,298,38843,44.5,13.6,44.6
"OR","u","P17810",2012,845,627,337,275,68369,45.5,55.6,32.3
"GA","w","P21106",2012,840,617,299,280,57508,77.5,45.6,47.5
"AK","e","P19795",2016,804,614,294,299,50994,46.1,31.7,22.2
"RI","y","P20018",2016,866,623,302,263,49525,35.4,43.8,33.7
"KS","b","P39303",2020,862,592,288,270,58417,53.5,24.7,77.1
"AZ","h","P06158",2012,894,627,336,259,54152,19.7,6.7,9.5
"MI","f","P03125",2024,893,605,293,273,48263,22.5,59.1,74.1
"UT","t","P07592",2024,842,592,296,266,73199,67.8,48,21
"KY","a","P16803",2016,840,618,300,299,52683,67.3,32,46.1
"IA","x","P01705",2024,820,588,310,265,69421,55.2,2.2,3.5
"AR","m","P07757",2020,821,594,313,276,49002,57.3,65.3,50.8
"GA","m","P16930",2024,897,587,270,306,58228,58.2,31.6,4.3
"SD","o","P38080",2012,850,593,327,296,48609,72.5,64.8,4
"NH","d","P47788",2024,800,614,316,278,50814,60.3,18.7,13.1
"KS","u","P30321",2016,857,565,295,271,49053,37.3,52.4,52.6
"VT","s","P21200",2012,820,601,305,249,49156,40.6,66.1,1.7
"CA","z","P17018",2016,906,594,335,282,32850,41.7,65.1,30.6
"TN","g","P28136",2020,860,619,307,321,48748,79.2,50.3,31
"OK","i","P32062",2012,807,565,315,283,67256,54.3,18,62
"NJ","a","P08553",2024,884,582,324,288,52306,30,67,43.2
"MT","p","P26230",2012,860,576,294,275,52872,11.4,17.8,77.3
"CA","a","P32774",2016,872,614,346,310,62885,56.7,32,9.5
"CO","c","P07344",2020,812,635,292,292,56013,66.8,17.2,20.2
"VT","s","P27525",2012,903,593,296,269,28207,77.3,8.8,24.2
"OH","f","P04895",2016,851,596,296,311,47856,33.2,12,51.9
"NY","d","P46158",2016,875,589,311,275,62285,13.8,49.6,15.6
"NV","z","P29552",2020,866,617,299,266,64993,12.6,44.5,73.7
"OH","r","P16240",2020,851,623,304,296,54571,67.8,64.6,33.7
"LA","k","P10423",2020,877,596,308,299,60468,14,56,67.3
"VT","x","P21864",2024,857,596,310,293,71927,28.5,69.3,20.9
"GA","e","P40064",2024,880,602,310,301,65328,42.6,64,11.8
"WA","w","P29465",2016,878,601,301,267,55281,45.4,26,29.1
"AL","f","P09523",2012,823,581,276,311,52949,50.7,60.1,70.4
"CT","p","P34462",2012,837,603,318,293,57501,57.3,7.8,73.6
"CA","x","P38303",2020,861,605,302,304,39346,16.8,25,43.1
"FL","z","P20107",2012,803,587,347,286,60435,15.1,41.8,17.5
"GA","i","P25639",2016,849,602,322,263,56427,43.3,45.5,72.2
"IA","j","P13710",2016,862,592,295,293,65264,63.1,6.1,37.3
"DE","x","P24697",2020,842,601,294,275,64567,57.9,28.9,74.1
"DE","c","P29143",2012,867,594,283,278,47077,56.7,12.7,42.6
"NM","t","P08580",2020,845,641,306,285,69223,34.1,59.1,15.7
"CA","i","P49681",2024,849,625,315,267,53228,34.4,49.6,63
"OR","s","P16596",2016,861,636,283,284,62008,42.3,61.2,42.8
"MT","t","P05326",2016,853,576,284,260,52118,10.2,46,26.6
"FL","c","P30658",2016,918,650,311,271,59740,72.6,57.3,77.2
"KY","w","P36156",2020,776,644,286,274,58559,77.8,21.4,63.1
"MN","h","P01698",2016,871,600,270,307,61098,78.9,59.3,7.8
"OR","q","P32796",2024,813,625,286,269,47461,21.8,62.7,7.5
"NV","f","P45607",2016,827,581,306,258,56395,33,22.1,70.8
"AR","o","P21569",2016,878,603,279,277,38616,42.7,15.7,68
"MS","s","P26934",2020,875,607,288,305,58584,66.6,55,47.6
"SD","q","P23469",2016,800,635,306,276,58822,35.1,28.4,11.3
"KS","i","P28244",2016,799,587,297,254,67658,57.5,53.9,55.9
"NE","l","P02192",2012,848,571,292,258,37557,27.6,13.3,37.6
"MI","r","P39104",2012,803,614,321,272,52694,38.8,2.3,64.9
"MS","i","P01264",2012,851,580,337,266,66688,31,3.1,13
"RI","q","P38372",2012,817,661,300,293,47516,66.8,15.5,32.1
"OH","b","P37900",2020,863,561,299,257,55410,67.4,31.6,10.9
"CT","r","P21325",2016,841,609,299,275,47511,10.9,49,33
"OR","z","P42392",2020,861,576,308,231,63385,75.5,64.8,3.3
"NJ","m","P02338",2016,846,556,258,249,46710,53.6,45.5,19
"SC","a","P49654",2016,844,606,313,282,64694,21.4,0.9,31.2
"LA","h","P18077",2012,867,637,293,301,52464,57.5,49.2,56.1
"AK","r","P10141",2024,840,598,311,280,57225,51,17,9.3
"AR","l","P47188",2024,854,592,327,294,44525,67.9,65,37.5
"AR","c","P22754",2012,851,579,313,273,53892,35.8,55.1,64.3
"MS","p","P21896",2024,886,632,295,264,42453,21.7,11,6.3
"PA","j","P26018",2024,892,611,291,283,60904,36.9,61.3,46.8
"MO","v","P44270",2012,907,576,307,303,55217,75.9,23.8,58.3
"AL","t","P00916",2024,841,619,302,305,52781,70.8,56.2,3.3
