"county_fips","year","unemployment_rate","median_income","gini_index","poverty_rate","pop_density","urban_rural","percent_white","percent_black","percent_hispanic"
"44864",2011,2.3,48724,0.51,6.9,300.1,"Suburban",45.8,46,57.6
"26828",2011,10.8,51307,0.47,27.1,52.9,"Urban",81.5,21.3,30.9
"50110",2018,11.1,49329,0.42,9,174.9,"Rural",46.5,40,41.1
"50914",2017,8.9,47201,0.34,21.6,193.6,"Urban",50,24.2,52.3
"38860",2020,2.6,41015,0.43,14.8,78.6,"Urban",67.4,15.2,51.7
"28715",2015,6.5,46768,0.5,16.2,140.5,"Suburban",35.2,46.3,38.6
"41012",2016,6.7,57845,0.5,11.9,605.2,"Urban",46.2,17.8,44.2
"36056",2010,8.8,49838,0.42,16.3,492.7,"Urban",56.4,23,61.9
"41153",2020,10.7,70070,0.53,11.8,272.9,"Urban",58.3,8.9,28.2
"34031",2011,2.5,62513,0.51,29.9,333.4,"Suburban",72.1,50.8,55.1
"45336",2019,4,56830,0.29,10.8,139.5,"Suburban",39.9,54.8,45
"52541",2015,12.2,39165,0.42,23.4,252.4,"Rural",69.1,56.5,66.9
"31468",2010,11.7,51161,0.54,25.6,129.6,"Suburban",79,45.9,24.6
"36191",2016,13.2,48379,0.34,29.4,437.9,"Urban",77.4,42.1,7.3
"50914",2014,12,57627,0.44,15.1,325.2,"Rural",69.5,41.6,36.9
"55493",2016,2.2,54466,0.5,26.9,313.3,"Rural",38.8,46,39.5
"43078",2016,9.1,36164,0.29,11.8,151.6,"Urban",49.2,12.9,33.4
"26215",2020,4.6,55616,0.54,23.7,92.5,"Suburban",71.4,45,43.7
"17979",2015,3.3,56999,0.37,14.4,3302.1,"Suburban",50.5,20.3,36.9
"53506",2014,4.4,49899,0.3,8.6,33.9,"Rural",31,33.4,13.5
"21273",2017,7.6,58120,0.44,24,409.1,"Suburban",46.7,39,62
"57378",2017,14.7,54064,0.44,25.4,60.6,"Suburban",66.9,40.8,11.9
"35169",2012,11.4,56014,0.44,9.3,50.9,"Urban",38.5,12.5,14
"12128",2011,6.9,52275,0.54,19.3,1592.5,"Urban",71.7,46.3,42.7
"44174",2015,12.7,48368,0.46,17.4,105,"Urban",38.8,46.5,61.9
"52050",2016,13.5,37051,0.49,17,92.8,"Urban",35.4,39.9,25.2
"47317",2017,9.2,41314,0.54,12.9,53.4,"Suburban",56.5,54,47.6
"50272",2010,13.4,45157,0.53,27.9,259.1,"Urban",60.3,2.2,63.7
"39958",2012,14.8,59893,0.42,18.6,888.7,"Suburban",32.5,28.3,67
"48536",2019,10.1,46647,0.44,24.3,140.3,"Suburban",40.2,26.2,20.8
"27937",2011,3.8,55036,0.55,17.1,144.8,"Suburban",33.3,21.6,62.7
"10224",2018,4.4,59642,0.46,5.4,322.7,"Rural",73.4,11.3,24.3
"28834",2011,13.8,52938,0.43,7,100.3,"Urban",68.3,50.6,59.9
"35493",2014,14.7,49704,0.35,24.4,587.1,"Suburban",48.4,28.4,67.2
"50629",2016,8.1,31266,0.35,10.1,228.3,"Rural",22.8,50.5,34.3
"34343",2015,11.5,36385,0.35,17.6,109.8,"Rural",49.4,58.5,24.2
"30428",2018,6.5,53136,0.54,19.3,105.1,"Urban",37.1,32.2,32
"39003",2010,11.3,46848,0.53,20.5,437.1,"Rural",48.7,54.9,12
"54774",2013,12.8,48286,0.36,24.5,202,"Urban",41.9,30.2,18.2
"49675",2018,9.2,56416,0.5,5.1,179.2,"Urban",44.5,20.8,12.7
"27510",2011,5.6,49792,0.36,16.5,150.9,"Urban",64.8,13.8,51.9
"21273",2017,14.6,48106,0.42,27.3,318.5,"Rural",23.8,14,7
"15025",2018,14.9,56431,0.46,18.3,1696.3,"Urban",82,42.8,68.4
"58586",2020,6.5,57049,0.3,27.7,32.3,"Suburban",45.2,58.8,2.3
"43297",2016,14,43956,0.52,19.2,38.9,"Urban",39.7,52,38.8
"46616",2019,3.5,40435,0.31,15.4,131.3,"Urban",35.2,55.5,14
"39572",2013,2.2,38965,0.5,25.4,219.2,"Suburban",49.2,22.7,69.5
"36547",2018,13.1,48716,0.3,26.9,126.5,"Suburban",36,59.4,22.2
"12330",2012,13.5,57584,0.32,5.6,153.2,"Urban",41.4,20.9,16.3
"34343",2012,7.4,53164,0.3,27.4,32.7,"Suburban",65.9,28.8,47.8
"39958",2011,10.8,47003,0.37,11.1,1413.9,"Urban",57.9,35.7,69.2
"59560",2010,12.9,50910,0.46,10.1,82.6,"Urban",72.2,45.2,66.8
"28834",2013,2.6,51593,0.32,7.5,99.1,"Urban",70.2,29.2,57.9
"53212",2017,9,51782,0.48,29.3,573.6,"Urban",81.8,11.7,56
"56258",2010,14.7,66654,0.44,14,61.1,"Suburban",31.2,40.9,43
"29373",2018,4.2,61707,0.35,28.4,82.8,"Suburban",32.1,19.8,69.7
"38977",2013,3.6,47492,0.32,14.1,541,"Urban",31.8,19.2,35.1
"17825",2018,12.3,53726,0.5,28,149.9,"Suburban",56,17.8,34.8
"20733",2010,4.1,54174,0.4,7.3,288,"Rural",60.9,40.2,56.2
"30885",2014,2.9,47161,0.37,19.7,190.6,"Rural",25.1,23.8,43.8
"27937",2011,3,52545,0.48,28.3,255.3,"Urban",27.7,45.6,33.2
"25192",2020,3.9,42454,0.37,25.2,743,"Urban",85.5,57.6,64.9
"18344",2020,11.9,59082,0.42,9.4,102.7,"Rural",89.5,32.7,34.1
"59524",2010,5.7,53861,0.51,27,1427.5,"Suburban",63.3,29.5,66.5
"43078",2011,6.1,54193,0.55,16.1,125.9,"Urban",37.3,42.6,46.9
"43791",2018,10.5,39493,0.42,29.1,517.4,"Urban",40.6,46,38.8
"42194",2020,3.8,63712,0.5,15.1,376.3,"Suburban",57.6,9.1,57.6
"17281",2017,13.9,47881,0.51,6.9,115.9,"Suburban",26.2,22.9,59.2
"58586",2019,2.7,50025,0.28,9.7,15.1,"Suburban",48.1,5.5,11.5
"39572",2011,10.9,52347,0.47,23.9,80,"Suburban",60.9,58.9,31.3
"45145",2013,12.3,51491,0.51,22.3,167.1,"Suburban",52.8,24.4,67.2
"21095",2019,2.2,39959,0.44,7.8,114.2,"Urban",60,16.3,29.7
"11482",2018,5.3,36509,0.43,11.9,81,"Rural",43.1,45.7,31.8
"36482",2017,11.1,56617,0.37,23.7,338.6,"Suburban",53,46.9,14.3
"36482",2017,2.8,60155,0.49,19.4,108.3,"Rural",85.5,12.5,22.5
"54441",2010,11.7,56952,0.49,16.7,242.9,"Suburban",73.6,25.4,68.2
"59983",2019,11.5,38426,0.47,23.4,239.4,"Suburban",68.6,14.5,56.4
"54859",2020,12.7,54642,0.46,9.1,51.6,"Suburban",45.9,8.1,69.3
"26320",2013,12.7,56112,0.44,6.1,268,"Rural",50.8,19.3,51
"37029",2014,5.8,63277,0.34,11.9,544.5,"Suburban",20.6,23.1,59.8
"28715",2010,9.3,58493,0.48,29.1,305.5,"Rural",40.8,23.5,29
"32170",2014,11.4,52138,0.34,18.3,238,"Suburban",87.6,49.9,14.2
"47351",2020,7.2,48640,0.49,19.6,1210.1,"Rural",36.2,38.5,40.8
"45811",2017,13.3,47388,0.5,11.6,52.2,"Urban",41.5,14.3,41.9
"12449",2011,5.1,57970,0.29,23.6,240,"Suburban",40.2,38.5,57.8
"54817",2015,5.9,56692,0.38,5.4,22.4,"Urban",79.5,55.1,53.8
"34343",2018,8.1,50643,0.43,14.9,96.1,"Urban",74.3,54.8,66.2
"38573",2011,5.3,58596,0.52,27.3,157.7,"Suburban",76,33.2,3.6
"15091",2013,13.8,52129,0.53,8.8,473.1,"Rural",89.6,6.3,37.5
"51468",2015,2.9,44906,0.43,26,277.9,"Suburban",58.6,10.5,65.5
"33342",2019,4.8,50675,0.4,14.9,207.5,"Suburban",54.4,30.2,52.3
"57378",2015,3.9,45612,0.33,7.2,2205.5,"Urban",43.1,4.2,34.8
"35493",2014,14.6,56570,0.38,24,286.4,"Urban",88.8,17.9,4.8
"34619",2016,12.7,45876,0.43,29.1,923.2,"Rural",86.2,20.4,44.2
"16351",2020,13.4,55513,0.37,19.7,607.4,"Suburban",66.8,1.4,18.2
"39432",2018,9.3,41944,0.44,16.4,1073.3,"Suburban",58.7,51.8,24.8
"44864",2020,8.6,60440,0.43,16.9,350.6,"Urban",47.4,23.9,29.7
"20959",2010,14.7,54764,0.49,25,51,"Suburban",31.1,39.8,67.2
"10771",2020,14.9,56508,0.54,16,863.7,"Suburban",57.7,19.5,66.1
"42229",2013,6.9,53465,0.46,13.7,1326.4,"Rural",69.2,24.5,67
"31610",2011,14.8,59533,0.53,15.5,31.3,"Urban",73.9,48,27.8
"42608",2020,9.7,44149,0.36,10.4,304,"Urban",75.4,16.2,16.1
"49716",2016,14.3,55022,0.36,29.4,783.9,"Rural",76.2,34.3,64.3
"51507",2019,8.8,74495,0.44,16.6,72.4,"Suburban",33.2,2.8,29.7
"27937",2020,2.8,41611,0.49,18.5,45.3,"Urban",72.1,11.2,25.3
"58596",2010,10.4,46585,0.32,18.2,148,"Urban",42.9,17.1,62.4
"14588",2019,6.5,62281,0.51,24.8,176.6,"Suburban",20.3,34.2,55.3
"26828",2016,6.1,49300,0.49,25.8,124.4,"Suburban",47.7,26.9,3.8
"58225",2012,11.9,36470,0.38,25.2,317.2,"Suburban",34.1,29.1,53.8
"17281",2014,6,52750,0.36,13.4,60.3,"Urban",71.2,3.4,15.3
"27604",2011,3.1,58683,0.35,26.8,291.4,"Urban",36.9,21.8,18.5
"42678",2020,7,25013,0.29,25.4,1237.9,"Rural",63.5,9.1,56.6
"32103",2012,11.8,57548,0.34,28.2,85.8,"Urban",72.8,3.7,51.9
"17281",2016,6.9,54745,0.46,20.9,457.7,"Suburban",38.5,52.4,39.8
"22395",2014,10,68563,0.54,12.3,673.7,"Suburban",27.4,45.6,42.8
"12660",2011,12.9,50081,0.45,26.7,156.6,"Rural",58.7,30,65.9
"49710",2016,6.5,53279,0.49,12.1,413.3,"Rural",43.2,17.6,33.7
"51507",2016,11.1,65856,0.45,15.7,66.5,"Urban",67.8,37.1,44.3
"17419",2017,6,55253,0.32,22.5,92.9,"Suburban",35.3,58.5,34.2
"41463",2015,3.8,61647,0.53,25.4,572.8,"Urban",88.2,54.9,25.3
"45566",2019,3.5,47183,0.42,28,155.7,"Urban",21.3,32.6,30.1
"51432",2013,12.9,48310,0.39,24.4,106.9,"Suburban",24.1,35.7,42.9
"35605",2011,14.6,59445,0.43,14,233.1,"Urban",45.2,6.8,8.1
"48536",2012,8.4,57988,0.38,23.5,78.1,"Urban",71.4,23.9,68.3
"26641",2014,7.4,52415,0.55,19.1,340,"Urban",67,7.5,2.3
"22395",2016,3.7,37747,0.52,5.3,29.4,"Urban",24,27.7,54.1
"41153",2014,7.3,61394,0.53,9.1,52.2,"Suburban",30.5,21.2,54
"54817",2018,4.6,52426,0.54,29.2,254.4,"Suburban",66.4,20.1,19.6
"48536",2013,11.6,50795,0.32,5.1,118,"Urban",59.8,2.8,67.4
"49118",2010,7.3,60804,0.29,16,451.1,"Urban",30.2,18.5,46.4
"59362",2011,2.6,39470,0.49,22.5,204.8,"Urban",46.4,35.9,10.7
"54859",2013,8.5,60121,0.32,25.8,224.3,"Rural",30.8,25.2,27.8
"12660",2015,13.9,45994,0.29,25.8,800.6,"Rural",41.7,18.6,43.2
"30953",2012,13.4,50753,0.43,15,142.5,"Rural",50.1,46.8,43.1
"28834",2014,5.6,54457,0.33,25.9,390.9,"Suburban",57,47.3,7.4
"33064",2012,9.5,47815,0.31,18.5,34.8,"Urban",80.6,22.7,26.8
"27797",2015,5.5,65544,0.47,13.8,227.3,"Suburban",65.9,49,59.1
"59591",2016,5,64399,0.3,29.3,256.7,"Suburban",28.4,31.1,39.2
"54368",2018,11.9,38328,0.54,27,35.7,"Suburban",37.3,10.7,13.8
"50110",2017,7.2,57304,0.43,19.2,409.1,"Suburban",53,29.2,27.1
"18893",2015,8.1,54342,0.4,21.5,27.6,"Urban",40,2.2,31.6
"25010",2020,5.3,43211,0.45,20.7,244.7,"Rural",77.4,39.4,13.1
"36482",2010,5.3,44106,0.55,20.9,354,"Suburban",24.6,22,35.3
"34142",2014,10.4,46090,0.41,12.8,244.9,"Suburban",37.6,35.5,63
"12133",2013,9.7,59092,0.42,20.4,396.9,"Urban",47.6,3.4,18.8
"39958",2014,6.2,47961,0.31,15.2,83.4,"Suburban",55.5,35.8,47.2
"58880",2020,4,44208,0.45,26.4,241.3,"Suburban",50.2,20,43.5
"43745",2019,13.6,53583,0.37,21,137.1,"Urban",21.4,22.9,19.9
"47258",2017,2.3,50167,0.31,28.8,248.4,"Rural",22.1,14.3,12.8
"28785",2015,8.2,54480,0.38,26.2,182,"Rural",56.3,39.7,19.6
"21073",2020,13.7,59663,0.37,28.6,95.3,"Urban",38,14.9,3.5
"54368",2012,3.8,42724,0.52,20.8,227.7,"Suburban",73.2,6.2,52.5
"35051",2017,5.2,50163,0.5,7.9,285.2,"Rural",20.5,10,49.1
"51681",2020,3.2,56675,0.46,7.4,269.4,"Suburban",59,24.7,67.6
"17983",2019,7.7,52030,0.4,15.9,16.5,"Urban",51,40.2,51.8
"12660",2010,10.5,48659,0.39,16.7,349.6,"Urban",67.7,51.3,23.8
"33829",2013,7.6,30369,0.54,22.9,387.5,"Rural",31.6,36.5,26.4
"45067",2013,5.3,52956,0.38,16.8,272,"Suburban",56,14.3,15
"51681",2018,7.2,50439,0.48,15.8,434.3,"Urban",61,27.1,53.1
"28785",2014,13,46931,0.47,28.1,261.8,"Urban",78.5,12,8.8
"10224",2017,9.8,60697,0.44,11.3,51.8,"Urban",85.9,13.1,63.3
"28715",2010,3.8,52988,0.39,20,116.4,"Urban",22.9,48.5,3.3
"42033",2017,2.8,53109,0.46,15.5,38.7,"Rural",40.4,6.9,48.6
"38860",2012,7.9,48378,0.33,27,49.5,"Urban",83.8,2.6,3.5
"53872",2017,7.5,51082,0.33,22.7,264.4,"Urban",43.2,16.9,27.3
"58020",2015,12.6,59535,0.47,12.8,94.9,"Urban",89.8,29.9,35.6
"59107",2016,2.1,53852,0.45,6.6,73.2,"Suburban",88.4,18.9,60.3
"34493",2010,4.3,50791,0.3,23.9,302.8,"Suburban",48.1,47.1,3.9
"30499",2013,9.2,40625,0.41,18.2,66.8,"Rural",83.7,52.9,69.4
"54161",2011,11.7,45665,0.48,11.6,126.7,"Suburban",60.9,32.4,18.9
"23298",2012,14.5,67059,0.35,6.6,1649.2,"Suburban",82.2,30,21.1
"48866",2016,5.7,65046,0.33,20.6,140.2,"Urban",69.5,47,58.9
"42678",2012,9,54977,0.28,18,1125.1,"Urban",86.1,7.6,26.6
"33829",2017,6.4,46594,0.43,20.7,596.4,"Urban",63,9.1,18.9
"44174",2014,3.6,52641,0.4,19,65.9,"Rural",56.7,22.9,67.5
"45714",2019,5,70324,0.36,22.8,334.4,"Urban",88.6,21.7,14.2
"29461",2015,5.3,49806,0.49,19,115.9,"Rural",64.9,5,15.8
"59983",2017,13.8,59527,0.38,19.9,145.9,"Suburban",57.7,11.1,67.6
"52514",2018,7,42754,0.5,14,118.9,"Suburban",71.5,7.6,67.3
"32103",2012,5.5,48897,0.33,24.8,158.7,"Urban",57.4,50.5,43.2
"27797",2016,2.5,60754,0.54,12.9,167.2,"Suburban",74.1,38.9,61.4
"47606",2016,11.2,66296,0.46,27.8,40.6,"Urban",34,21.4,22.3
"45811",2010,2.2,59898,0.39,12.7,77.9,"Urban",30.7,39.2,54.9
"48944",2020,8.3,57835,0.52,20.4,1959.6,"Urban",88.1,6,19.3
"44174",2017,3.2,60908,0.32,18.6,331.2,"Suburban",74.7,41,38.1
"44105",2012,11.1,57309,0.39,27.3,244.7,"Suburban",69.1,39.9,22.6
"39958",2011,3.6,79465,0.31,27.7,159.4,"Urban",89.9,7.7,64
"53346",2011,11.2,46608,0.48,5.5,35.8,"Suburban",27.9,44.5,68.4
"37029",2020,13,60393,0.51,6.4,81.5,"Urban",43,2.3,66.5
"54441",2020,5,53400,0.52,17.7,72.4,"Rural",24.5,7.5,64.8
"36547",2018,3.8,62521,0.43,14.1,168.4,"Urban",68.9,27.9,66.9
"11430",2012,8.4,41934,0.49,5.7,137.6,"Urban",80.5,13.2,23.7
"54817",2015,11.9,66612,0.29,25.8,69.8,"Rural",52,27.4,17.3
"53183",2016,5.1,64475,0.47,29.9,140.1,"Rural",50.7,50.3,47.3
"18003",2015,5.5,70603,0.53,26.7,255.5,"Suburban",71.6,25.6,17
"53212",2013,10.6,61307,0.33,11.5,239,"Urban",34.1,28.7,14.9
"34493",2015,8.7,45497,0.31,16.4,233.5,"Urban",31.3,40.3,69.7
"59416",2012,10.7,54446,0.36,26.8,324.6,"Rural",88.9,9.6,48.5
"12838",2020,7.7,53201,0.34,29,199.3,"Urban",51.6,46.6,63
"44136",2010,4.5,56019,0.55,22.7,731.8,"Suburban",82.2,1.6,9.3
"14428",2017,10.8,58361,0.37,14.2,359.6,"Suburban",28.1,55.6,34
"45336",2010,13.8,54418,0.45,12.1,780.1,"Urban",76.3,34.8,27.2
"33829",2012,3,38651,0.34,13.5,25.7,"Urban",59.1,6.7,58.3
"32818",2017,6.6,57477,0.51,7.6,304.8,"Suburban",32.7,56.4,21.5
"18788",2014,3.2,42653,0.44,9,111.6,"Urban",76.4,15,63.8
"45714",2017,4.8,53928,0.37,12,293.3,"Urban",53,55.2,7.8
"12330",2012,10,56275,0.44,25.1,217.3,"Suburban",68.8,6,8.5
"37770",2018,5.4,58710,0.49,6.5,85.1,"Suburban",56.6,46.4,11.1
"43540",2015,12.8,47229,0.53,22.3,91.2,"Urban",75.3,48.9,59.3
"39497",2012,9.5,37558,0.29,25.6,531.5,"Suburban",62.4,42.9,11.9
"42608",2011,6.9,52534,0.5,13.9,125,"Suburban",73.6,45.9,13.8
"18344",2017,3.3,67853,0.42,15.1,173.1,"Suburban",58.1,48.4,10.2
"49716",2014,2.9,42886,0.47,22.4,170.6,"Urban",30.9,31.6,56.4
"12133",2016,8.8,48887,0.32,20.9,35.8,"Suburban",79.7,40,3.7
"16502",2013,9.2,51612,0.45,16.8,433.3,"Suburban",85.7,51.2,14.2
"54774",2010,13.3,63439,0.34,19.3,137.6,"Suburban",61.1,15.5,34.1
"53183",2018,11.3,48806,0.35,8.6,77.1,"Rural",87.2,7.7,48.4
"52367",2016,14.1,58736,0.37,26,368.6,"Suburban",40.2,28.3,32.8
"55289",2019,13.8,56970,0.29,14.6,198.2,"Rural",58.5,59.6,13.7
"14179",2010,11.1,68746,0.46,13.1,779.6,"Urban",72.6,50.4,9.9
"38337",2016,2.3,62879,0.42,18.2,221.1,"Urban",73.9,52.7,54.8
"10771",2016,7.9,61502,0.53,6.7,216.8,"Suburban",61.5,23.8,42.5
"18344",2011,8.7,48175,0.38,23.1,195.2,"Suburban",48,27.7,6.6
"15180",2012,5.8,51151,0.42,9.8,96,"Rural",30.3,53.2,35.4
"48424",2012,5,54362,0.52,26.9,146.3,"Suburban",69.4,20.9,21.6
"48424",2018,10,55594,0.52,15.8,503,"Suburban",81.2,55.1,28.3
"16189",2010,9.8,44379,0.4,7.6,57.6,"Urban",43.3,11.8,67.1
"38665",2017,9.1,55980,0.29,26.6,87.6,"Rural",88,13.8,39
"50999",2010,13.6,40398,0.37,25.9,251.3,"Urban",84.5,31.5,42.9
"43745",2012,7.7,50186,0.5,24.3,613.7,"Suburban",57.8,11.1,56.3
"37226",2019,5,57960,0.43,26.5,551.8,"Suburban",83,35.3,38.3
"38745",2016,6,51454,0.46,16.2,657.8,"Suburban",31.8,59.6,30.5
"32258",2016,7.7,55920,0.5,15.4,170.9,"Rural",66.4,28.7,58.5
"25192",2011,14.2,52644,0.51,19,483.7,"Rural",27.4,4.6,47.3
"57896",2010,12.4,59664,0.46,13.7,71.5,"Rural",55.5,8.3,58.2
"26641",2016,8.1,53208,0.37,14.3,72.9,"Rural",48,13.1,62.4
"45811",2015,6.3,69987,0.48,21.3,58.6,"Suburban",71.5,47.2,58.3
"53506",2020,5.8,43584,0.51,11.7,15.4,"Urban",78.9,23,37.3
"41153",2010,6.6,67257,0.33,24.9,125.1,"Urban",66.7,49.5,62.9
"21073",2020,4.3,50600,0.55,12.6,216.2,"Suburban",76.3,44.8,28.2
"18003",2015,8.1,46757,0.41,13.9,107.6,"Suburban",23.1,6.6,63.6
"14823",2016,11.4,45417,0.5,29.5,585.6,"Suburban",74.7,38.9,3.8
"59107",2013,3.3,54501,0.49,23,58.7,"Rural",21.8,13,10.1
"29824",2016,5.1,57172,0.45,7,142.4,"Suburban",47.6,12.2,16.7
"43791",2018,2.5,57776,0.35,14.7,267,"Suburban",38.2,30.8,58.5
"50550",2013,6,53633,0.34,18.2,45.7,"Suburban",74,43.5,7.6
"39432",2010,10.9,43196,0.37,7.5,119.4,"Rural",74,59.9,27.1
"13319",2012,5,66070,0.43,25.3,20.7,"Urban",61,56.5,49
"35815",2010,4.2,46361,0.33,13.5,296.3,"Rural",28.9,35.9,29.4
"36843",2020,5.4,54528,0.46,6.6,97.9,"Urban",30,40.3,51
"11621",2016,10.8,71530,0.34,12.3,306.7,"Urban",37.6,12.7,55.7
"17281",2011,3.8,32035,0.51,23.4,431.9,"Rural",89.6,12.3,34.5
"50914",2010,8.7,54746,0.52,10.8,72.2,"Urban",34,41.9,30.8
"35910",2012,6.5,50912,0.43,26.7,240.8,"Suburban",73.1,22.3,15.5
"43094",2010,2,53735,0.45,15.2,22.4,"Urban",46.3,44.2,38
"18617",2019,9.7,63596,0.35,20.1,115.8,"Rural",59.2,41.5,52.6
"35815",2018,13.5,63316,0.3,8.1,2033.5,"Urban",21.6,58.9,50.2
"27604",2011,8.7,67564,0.3,25.1,790.8,"Suburban",88,5.4,8.1
"55493",2016,3.3,47230,0.46,26.2,82.3,"Suburban",25.7,46.6,44.4
"46616",2016,8.1,49663,0.54,12,60.8,"Suburban",75.6,3.3,27.5
"10771",2018,14.6,46234,0.31,7,150.5,"Rural",33.3,38.8,34
"30056",2016,11.7,41466,0.48,14.5,117.9,"Suburban",56.4,20.8,15.8
"24878",2020,11.4,47380,0.33,9.1,30.1,"Rural",82.3,47.7,61.3
"41382",2019,14.7,46179,0.53,26.9,303,"Suburban",87.8,37.5,35.8
"47294",2010,5.9,44009,0.43,19,70.1,"Urban",60.5,52.9,16.3
"49361",2018,13.3,53549,0.49,22.3,604.3,"Rural",46.1,35.3,52.8
"20733",2016,9.2,53561,0.53,26.3,430.9,"Urban",30.9,22.3,21
"14588",2015,4.7,49692,0.38,14.6,37.1,"Suburban",39.4,24,33.2
"22395",2020,4.1,52089,0.54,25.6,119.8,"Suburban",37.6,53.1,63.6
"26860",2019,13.8,49888,0.51,28.6,199.1,"Suburban",44.7,59,65.2
"33064",2014,14.1,51100,0.46,23.8,140.1,"Suburban",58.5,50.7,46.5
"17825",2013,2.2,47701,0.32,14.4,119.2,"Urban",31.6,5.6,5.7
"17419",2018,8.8,53014,0.47,23.9,311.5,"Suburban",41.5,2,68.3
"11449",2014,9.4,57878,0.53,6.4,62.8,"Suburban",45.5,42.1,32.9
"53183",2011,6.9,55187,0.46,9.1,1222.9,"Suburban",48,37.1,24.9
"18003",2015,8.4,50993,0.3,9.4,762.4,"Urban",55.5,8.1,23.1
"12448",2014,4.4,45200,0.44,16,160.7,"Urban",44.6,30.3,38
"12128",2018,13.8,55736,0.49,23.5,148.1,"Suburban",45.2,38.1,35.3
"50629",2010,13.5,42765,0.3,6.6,173.2,"Rural",46.5,48.6,10.5
"11482",2014,12.2,49463,0.41,6.1,153.4,"Urban",22.2,21.5,27.6
"21273",2013,4.6,58960,0.44,15.8,117.6,"Suburban",57.4,51.5,35.3
"45067",2020,6.8,44249,0.28,9,281.4,"Suburban",45.5,45.7,68.2
"43078",2012,7.5,63541,0.41,14.5,198.6,"Rural",76.5,18.7,69.6
"23298",2016,5.3,57138,0.54,10,253.7,"Suburban",81.5,48.3,57
"53346",2011,13.8,49048,0.35,13.9,540.6,"Suburban",52,42.7,30.4
"27510",2017,12.4,52747,0.44,7.3,398.1,"Suburban",22.9,1.3,61.6
"33805",2020,6.3,53276,0.45,27.7,28,"Suburban",25.3,20.3,46.9
"29387",2010,11.7,53934,0.52,23.2,96.8,"Rural",62.2,54.3,22.8
"53183",2010,3.1,54739,0.36,28.4,199.1,"Suburban",71.6,26.1,20.2
"33032",2012,6.6,54800,0.51,13.8,242.1,"Urban",42,20.3,8.3
"16502",2019,3.2,39673,0.39,8.7,192.4,"Rural",23.4,19.4,62.6
"14823",2016,14.6,58276,0.49,24.3,310,"Urban",88,12.6,34.4
"38573",2018,3.7,48057,0.45,28.8,853.8,"Suburban",32,59.3,65.7
"45566",2018,13.2,61943,0.34,13.4,67.6,"Urban",82.2,7.3,68
"57668",2020,14.6,43984,0.33,22.6,504.1,"Suburban",30.8,48.9,39
"52229",2020,13.1,49175,0.29,8.8,58.8,"Suburban",28.8,44.8,36.2
"41468",2018,3.5,54431,0.44,24.1,15.5,"Urban",65.1,15.7,26.5
"54450",2011,5.9,43323,0.55,19.2,288.9,"Suburban",34.5,14.7,28.9
"44105",2011,3.3,47141,0.33,6.6,896.3,"Urban",84.2,46.3,27.4
"51610",2020,9,45057,0.47,16.8,396.9,"Suburban",88.9,40.7,6.4
