"release_id","member_id","chamber","party","ideology_score","state","date","topic","sentiment_score","contains_attack"
38,502,"Senate","Democrat",-0.0160832256560529,"AZ",2024-02-08,"Energy",0.15,0
39,299,"House","Republican",0.195900706013623,"IA",2024-07-27,"Budget",0.39,1
40,62,"Senate","Republican",0.0358931125561887,"NH",2024-09-13,"Foreign Policy",-0.11,1
41,460,"House","Republican",0.0515823219797625,"VA",2024-04-25,"Agriculture",0.01,0
42,190,"House","Democrat",0.897657090464907,"NM",2024-02-11,"Budget",0.23,0
43,275,"Senate","Democrat",0.363402111929909,"ID",2024-08-25,"Economy",0.16,0
44,9,"House","Republican",-0.624526266892517,"TX",2024-07-02,"Immigration",0.56,1
45,230,"House","Republican",0.219605525495476,"NV",2024-03-06,"Environment",-0.15,0
46,508,"House","Democrat",0.375703592302154,"WY",2024-08-17,"Budget",0.48,1
47,168,"House","Democrat",0.545569712710318,"WV",2024-07-14,"Agriculture",-0.24,0
48,415,"Senate","Democrat",-0.49955306027693,"FL",2024-08-19,"Agriculture",-0.11,0
49,480,"House","Republican",0.274990623483049,"OK",2024-05-01,"Technology",-0.52,1
50,179,"House","Democrat",-0.0835253389241545,"KY",2024-01-29,"Technology",-0.37,1
51,10,"House","Democrat",-0.363511665387554,"ME",2024-03-25,"Education",-0.31,1
52,181,"House","Democrat",-0.163383096001046,"CA",2024-11-23,"Foreign Policy",0.61,1
53,483,"Senate","Democrat",-0.193238336531197,"NJ",2024-06-10,"Agriculture",0.07,0
54,376,"House","Democrat",0.147748368163936,"OK",2024-12-24,"Environment",0.14,1
55,97,"House","Democrat",0.518308087418832,"WI",2024-06-21,"Energy",-0.15,1
56,440,"Senate","Republican",0.343963506984049,"MT",2024-01-10,"Health",0.48,0
57,305,"House","Democrat",-0.652464255017674,"WA",2024-11-30,"Budget",0.46,0
58,347,"House","Independent",0.131120073731684,"AR",2024-12-14,"Budget",-0.2,1
59,21,"House","Democrat",0.713203214196608,"NJ",2024-06-16,"Technology",0.08,1
60,66,"House","Republican",-0.332738918735109,"NY",2024-04-11,"Technology",-0.25,0
61,410,"House","Republican",-0.515616234669723,"LA",2024-09-27,"Budget",-0.15,1
62,32,"Senate","Republican",0.286077931842412,"HI",2024-01-12,"Education",0.54,1
63,153,"House","Democrat",-0.258835127292711,"KS",2024-10-27,"Budget",-0.38,0
64,369,"House","Republican",-0.28546043889447,"SC",2024-09-25,"Environment",0.37,1
65,330,"House","Republican",0.454293693319948,"SD",2024-06-01,"Environment",0.72,1
66,17,"House","Republican",0.151413117592104,"NY",2024-11-27,"Health",-0.64,0
67,57,"House","Republican",-0.223916717154416,"MT",2024-12-22,"Agriculture",0.89,1
68,73,"House","Democrat",1.37603030095153,"FL",2024-06-13,"Technology",-0.29,1
69,14,"House","Democrat",0.0507094327748915,"RI",2024-06-05,"Energy",0.49,0
70,124,"House","Democrat",0.153123737290427,"HI",2024-11-05,"Immigration",-0.13,1
71,97,"House","Democrat",-0.159663216245786,"NH",2024-11-26,"Technology",-0.52,0
72,426,"House","Democrat",0.344079981949033,"NH",2024-04-10,"Foreign Policy",-0.25,0
73,283,"House","Republican",-0.00475657476857735,"MI",2024-08-07,"Education",-0.16,0
74,41,"House","Democrat",0.0290496626357204,"AL",2024-02-03,"Health",0.01,0
75,167,"House","Republican",-0.328535478259027,"TN",2024-02-12,"Health",-0.09,1
76,110,"House","Republican",-0.387841825579546,"AL",2024-02-23,"Foreign Policy",0.1,1
77,212,"Senate","Republican",0.244353908006776,"OK",2024-09-24,"Education",-0.4,1
78,48,"House","Democrat",0.0113602158394797,"NV",2024-12-12,"Economy",0.2,0
79,218,"House","Republican",-0.303257618404214,"TN",2024-10-21,"Environment",-0.11,0
80,500,"House","Republican",0.130651619977957,"NM",2024-05-19,"Energy",0.59,1
81,520,"House","Democrat",0.26623884226501,"LA",2024-01-20,"Immigration",0.43,1
82,416,"House","Republican",-0.405006843585052,"MI",2024-12-27,"Health",-0.06,0
83,114,"House","Republican",0.236932653190754,"IN",2024-09-09,"Environment",0.58,1
84,152,"House","Democrat",-0.290224497933717,"NM",2024-09-14,"Immigration",0.02,0
85,480,"House","Democrat",0.359491867965027,"NM",2024-05-11,"Foreign Policy",-0.27,1
86,529,"House","Republican",-0.35603569243361,"AL",2024-12-17,"Economy",0.29,0
87,25,"House","Republican",-0.0702780835802073,"MI",2024-11-18,"Foreign Policy",-0.28,1
88,228,"House","Democrat",-0.582509847385553,"OK",2024-05-02,"Health",-0.07,0
89,233,"House","Democrat",0.2304874979966,"NV",2024-11-25,"Technology",0.46,1
90,436,"Senate","Republican",0.683525140576569,"TX",2024-07-13,"Energy",-0.46,1
91,120,"House","Democrat",-0.0148116167029753,"SD",2024-05-04,"Energy",-0.03,1
92,31,"House","Democrat",0.0767017805393776,"WA",2024-12-14,"Education",0.24,0
93,467,"House","Republican",0.360496476473509,"NV",2024-04-11,"Technology",-0.03,1
94,300,"Senate","Republican",-0.553680339850012,"IN",2024-05-23,"Agriculture",-0.36,1
95,27,"House","Democrat",-0.00319973150333119,"UT",2024-11-27,"Immigration",-0.15,1
96,41,"House","Democrat",-0.709071903477901,"IN",2024-06-24,"Foreign Policy",-0.67,1
97,354,"House","Republican",-0.30253684283043,"ID",2024-02-14,"Technology",-0.07,0
98,446,"House","Democrat",-0.00537338266298742,"SD",2024-02-01,"Energy",-0.41,1
99,352,"House","Democrat",0.236120875402215,"CO",2024-12-16,"Immigration",0.03,1
100,93,"House","Republican",-1.01696500200184,"HI",2024-07-04,"Health",0.41,1
101,358,"House","Democrat",0.177199225719196,"UT",2024-09-22,"Energy",0.43,0
102,341,"House","Democrat",0.142585412048348,"MN",2024-06-29,"Economy",-0.33,1
103,385,"House","Democrat",0.287152666363348,"ME",2024-06-20,"Energy",-0.07,1
104,506,"House","Democrat",1.10793442531703,"ND",2024-02-25,"Energy",0.25,0
105,421,"House","Democrat",0.0656522360898191,"MT",2024-02-10,"Health",0.07,0
106,348,"House","Independent",-0.284757320064112,"AZ",2024-08-04,"Environment",-0.59,0
107,128,"House","Republican",-1.03309571043609,"MN",2024-09-29,"Environment",0.19,0
108,406,"Senate","Democrat",0.606627938948981,"ND",2024-05-15,"Energy",0.58,1
109,146,"House","Democrat",-0.0859716462630032,"MS",2024-06-10,"Environment",0.21,1
110,461,"House","Republican",-0.285259632833216,"AK",2024-08-27,"Economy",-0.23,1
111,189,"House","Democrat",0.0117778677411657,"AK",2024-03-20,"Environment",-0.07,1
112,413,"House","Republican",-0.656229689838841,"PA",2024-04-19,"Energy",0.37,0
113,262,"House","Independent",-0.0314003776895931,"WY",2024-07-18,"Budget",-0.35,1
114,283,"Senate","Democrat",0.295489803729377,"MD",2024-12-02,"Agriculture",0.29,0
115,472,"House","Democrat",0.43437771509468,"AK",2024-08-01,"Health",-0.09,1
116,103,"Senate","Democrat",0.163322513052022,"SD",2024-08-04,"Energy",-0.25,1
117,271,"House","Republican",-0.510977875543643,"WA",2024-10-26,"Agriculture",0.47,0
118,67,"House","Democrat",-0.455663358742516,"AZ",2024-01-20,"Budget",-0.04,1
119,24,"House","Republican",-0.13406522845304,"ND",2024-12-05,"Economy",0.03,0
120,48,"House","Republican",-0.0407309030847176,"KY",2024-08-18,"Budget",0.21,1
121,291,"House","Republican",0.189997858364467,"OK",2024-12-27,"Environment",-0.48,1
122,476,"House","Republican",-0.0518119491995176,"NE",2024-07-06,"Technology",-0.13,0
123,149,"House","Democrat",0.518147985057603,"NE",2024-07-21,"Immigration",-0.54,1
124,533,"Senate","Republican",0.262769191170787,"CT",2024-11-06,"Foreign Policy",-0.14,1
125,220,"House","Republican",0.301481612482478,"NC",2024-04-22,"Education",-0.5,0
126,225,"House","Republican",0.306761840250928,"PA",2024-06-09,"Agriculture",0.4,1
127,73,"Senate","Republican",-0.321572294355426,"NV",2024-11-01,"Energy",0.27,0
128,143,"House","Democrat",0.674316126562977,"OR",2024-05-14,"Environment",0,0
129,87,"House","Democrat",-0.550364721923306,"ID",2024-05-19,"Budget",-0.06,0
130,367,"House","Republican",-0.417804532901142,"MS",2024-10-20,"Health",0.41,1
131,238,"House","Democrat",-0.246652301140448,"IL",2024-02-13,"Economy",-0.34,1
132,138,"House","Republican",0.25697679472507,"NM",2024-01-25,"Energy",0.32,0
133,62,"House","Democrat",0.00963591649345228,"VT",2024-01-11,"Foreign Policy",-0.21,1
134,86,"House","Democrat",-0.786758180588675,"WI",2024-05-19,"Energy",0.28,0
135,406,"House","Democrat",-0.0868277214487861,"DE",2024-03-01,"Health",-0.02,1
136,76,"House","Republican",-0.20177478924764,"FL",2024-07-24,"Education",-0.29,1
137,381,"House","Republican",-0.811482391060449,"NE",2024-01-10,"Foreign Policy",-0.21,0
138,327,"House","Democrat",0.139334965481965,"MT",2024-03-25,"Environment",0.78,1
139,316,"House","Republican",-0.0494404253100107,"SC",2024-06-05,"Technology",-0.58,1
140,134,"Senate","Republican",-0.34647547113482,"ME",2024-06-30,"Education",-0.01,0
141,122,"Senate","Democrat",-0.948821521770379,"MS",2024-01-03,"Economy",-0.42,1
142,28,"House","Independent",-0.311288609756067,"KY",2024-03-28,"Foreign Policy",0.15,1
143,413,"House","Republican",-0.435759681170908,"NV",2024-05-31,"Health",0.63,1
144,59,"House","Democrat",-0.452881919439903,"GA",2024-03-04,"Foreign Policy",0.21,0
145,169,"House","Democrat",0.665705283923366,"LA",2024-08-29,"Economy",-0.16,1
146,286,"House","Democrat",0.231940565610046,"TN",2024-05-16,"Immigration",-0.01,0
147,445,"House","Democrat",-0.12527822544733,"MS",2024-02-05,"Education",0.07,1
148,501,"House","Democrat",0.173419327114502,"SD",2024-11-15,"Health",0.21,1
149,37,"House","Democrat",-0.45568325400935,"IN",2024-11-28,"Foreign Policy",-0.65,1
150,256,"House","Democrat",0.152983147451812,"HI",2024-06-06,"Economy",0.16,0
151,435,"House","Democrat",-0.251775089893569,"MO",2024-04-02,"Economy",-0.03,1
152,57,"House","Democrat",-0.37285378746242,"OK",2024-03-10,"Technology",-0.34,1
153,311,"House","Democrat",0.079629653652583,"PA",2024-08-13,"Health",0.44,0
154,315,"House","Republican",-0.440107205760037,"LA",2024-06-02,"Education",0.06,0
155,121,"Senate","Democrat",-0.173804082019847,"VA",2024-01-10,"Health",-0.37,1
156,486,"Senate","Republican",-0.74522251668053,"MN",2024-09-04,"Environment",0.11,1
157,94,"Senate","Republican",-0.101441118531512,"MI",2024-01-23,"Economy",-0.17,1
158,167,"House","Democrat",0.1059777669495,"RI",2024-05-20,"Technology",-0.16,0
159,281,"Senate","Democrat",-0.663875796007514,"MA",2024-03-06,"Technology",0.02,0
160,82,"House","Democrat",0.263047777919745,"AL",2024-05-09,"Budget",-0.26,1
161,272,"House","Democrat",0.216478186965433,"NJ",2024-06-16,"Technology",0.05,0
162,390,"House","Democrat",-0.014162129341998,"RI",2024-11-11,"Agriculture",-0.24,0
163,453,"House","Republican",-0.0493431191912501,"OH",2024-10-29,"Foreign Policy",-0.41,1
164,164,"House","Republican",0.116656849922717,"ME",2024-11-01,"Budget",0.12,0
165,206,"House","Republican",-0.0547684691648935,"SC",2024-07-03,"Education",-0.44,1
166,84,"House","Democrat",0.23443836917102,"NH",2024-09-29,"Economy",0.24,0
167,333,"House","Republican",0.536009937121225,"SD",2024-12-21,"Agriculture",0.13,1
168,159,"House","Republican",0.504744066040536,"KY",2024-09-29,"Education",0.5,0
169,423,"House","Republican",-0.722766191640294,"NM",2024-03-29,"Technology",-0.22,1
170,454,"House","Republican",-0.222076509199602,"HI",2024-09-24,"Technology",-0.05,1
171,25,"Senate","Republican",0.154138973201441,"LA",2024-12-06,"Economy",-0.26,1
172,118,"House","Democrat",-0.442289919260111,"CT",2024-08-03,"Technology",-0.17,1
173,176,"House","Republican",0.703378653310699,"MD",2024-03-03,"Environment",0.27,0
174,159,"House","Republican",-0.0231481288196988,"SC",2024-02-29,"Education",-0.25,0
175,351,"House","Republican",0.366814118778251,"IL",2024-10-28,"Budget",0.18,1
176,122,"Senate","Democrat",-0.446800192342618,"KY",2024-09-22,"Economy",-0.23,1
177,311,"House","Republican",0.771820777981311,"NY",2024-01-24,"Economy",-0.21,1
178,176,"House","Democrat",-0.294857404497073,"WI",2024-12-03,"Health",-0.07,1
179,290,"House","Republican",-0.222157784873429,"MN",2024-05-04,"Agriculture",-0.24,1
180,459,"House","Independent",-0.215047646164806,"VA",2024-04-17,"Economy",0.4,0
181,461,"House","Democrat",-0.658698421796992,"CO",2024-02-09,"Economy",0.15,0
182,52,"House","Republican",0.43321762798513,"WI",2024-11-13,"Foreign Policy",0.32,1
183,173,"House","Democrat",0.0223408625393906,"NE",2024-11-04,"Economy",-0.06,1
184,213,"House","Democrat",-0.856961800507441,"WA",2024-10-05,"Environment",0.17,0
185,163,"House","Republican",0.08106780718334,"CT",2024-09-09,"Environment",0.13,0
186,166,"House","Democrat",0.331483866534092,"IN",2024-12-21,"Agriculture",-0.09,0
187,503,"House","Democrat",-0.220635979905663,"VA",2024-08-10,"Budget",0,0
188,3,"Senate","Republican",0.393105211971419,"MS",2024-01-01,"Energy",0.35,0
189,321,"Senate","Republican",0.34230630686928,"DE",2024-08-03,"Agriculture",-0.39,1
190,140,"House","Democrat",0.421453007144263,"WY",2024-09-12,"Technology",-0.01,0
191,252,"House","Democrat",-0.158931714338443,"UT",2024-04-19,"Economy",0.16,0
192,426,"House","Democrat",-0.427866851941057,"CT",2024-07-30,"Foreign Policy",-0.26,1
193,491,"House","Democrat",-0.291872037452467,"AZ",2024-02-23,"Education",0.08,1
194,358,"House","Republican",-0.534179370279177,"SC",2024-02-27,"Environment",-0.22,1
195,451,"House","Republican",0.434599819776982,"WI",2024-12-01,"Technology",-0.42,1
196,84,"House","Republican",0.410621930619072,"CA",2024-01-31,"Energy",-0.11,1
197,115,"House","Democrat",-0.0277849202155014,"OR",2024-02-09,"Environment",-0.2,0
198,236,"House","Republican",1.02209047983068,"IN",2024-02-13,"Technology",-0.1,0
199,42,"House","Republican",-0.260988715247088,"OH",2024-06-18,"Environment",-0.18,0
200,439,"House","Republican",0.238132416721663,"AZ",2024-01-23,"Environment",-0.56,1
201,496,"Senate","Republican",0.0566526929468124,"NC",2024-05-29,"Immigration",-0.01,1
202,149,"House","Democrat",-0.402045541533221,"LA",2024-03-27,"Environment",0.39,0
203,417,"House","Republican",-0.114167122327532,"ND",2024-03-08,"Health",-0.08,1
204,5,"House","Republican",0.242519097275904,"OK",2024-09-30,"Health",-0.45,0
205,328,"House","Democrat",-0.184835649227849,"NH",2024-08-23,"Foreign Policy",0.53,1
206,346,"House","Independent",-0.209526773505902,"NY",2024-04-14,"Economy",-0.18,1
207,511,"House","Democrat",-0.0418923459456935,"FL",2024-11-27,"Foreign Policy",-0.3,1
208,223,"House","Democrat",0.666334496380414,"ID",2024-11-16,"Technology",0.46,0
209,205,"House","Republican",-0.448793032190449,"LA",2024-04-18,"Technology",-0.54,0
210,136,"House","Democrat",-0.0209750664857928,"KS",2024-04-21,"Immigration",-0.69,1
211,402,"House","Republican",-0.0591902546140904,"MO",2024-05-28,"Environment",0.1,0
212,175,"Senate","Democrat",-0.0254524799815128,"CA",2024-05-26,"Health",0.12,0
213,131,"House","Democrat",-0.605628293681229,"PA",2024-11-25,"Budget",0.28,1
214,503,"House","Republican",0.188019999654163,"SD",2024-07-15,"Technology",0.05,1
215,447,"House","Republican",-0.223507547447015,"NV",2024-12-15,"Education",0.4,0
216,94,"House","Republican",-0.703980381367316,"HI",2024-11-05,"Energy",-0.33,0
217,265,"House","Republican",-0.602026117862278,"TX",2024-11-07,"Budget",-0.17,0
218,120,"House","Democrat",0.259857190302838,"PA",2024-03-27,"Immigration",0.24,0
219,300,"House","Republican",0.395722802734876,"TX",2024-10-05,"Health",0.25,0
220,390,"House","Democrat",-0.216855397841557,"MD",2024-09-20,"Budget",0.05,1
221,379,"House","Democrat",-0.614832972530955,"WI",2024-05-16,"Health",0.29,0
222,213,"House","Democrat",-0.317113233644537,"MT",2024-07-11,"Foreign Policy",-0.08,1
223,453,"House","Republican",1.31393490209615,"GA",2024-11-12,"Foreign Policy",0.48,1
224,352,"House","Democrat",0.0451978439568596,"NM",2024-08-05,"Budget",0.67,0
225,514,"House","Democrat",-0.0481038576236236,"OK",2024-07-06,"Environment",-0.26,0
226,6,"House","Democrat",0.189606708020355,"CO",2024-08-02,"Immigration",0.05,1
227,533,"House","Republican",-0.0317563306862037,"WA",2024-04-26,"Education",0.01,1
228,349,"House","Democrat",-0.777442987138616,"IN",2024-08-17,"Budget",0.04,1
229,116,"Senate","Republican",0.0509470031480434,"MN",2024-06-26,"Technology",-0.22,1
230,123,"Senate","Democrat",0.272331937792945,"ND",2024-05-16,"Environment",-0.2,1
231,184,"House","Democrat",0.00470159288671964,"MO",2024-05-08,"Education",0,1
232,530,"House","Democrat",0.265218109488989,"KY",2024-09-19,"Agriculture",0.32,0
233,49,"House","Republican",-0.66079970090737,"OH",2024-03-27,"Agriculture",-0.32,0
234,4,"House","Republican",0.0403176074273592,"TX",2024-02-27,"Agriculture",0.17,1
235,479,"House","Democrat",0.310435502089778,"MA",2024-04-22,"Health",0.46,1
236,247,"House","Democrat",0.248032454139433,"NJ",2024-12-11,"Budget",-0.17,0
237,136,"House","Democrat",-0.428151559704889,"NE",2024-10-25,"Education",-0.27,0
238,451,"House","Republican",-0.0618599496403484,"FL",2024-04-05,"Budget",-0.68,1
239,371,"Senate","Republican",-0.544635021029557,"MD",2024-06-22,"Technology",-0.21,0
240,99,"House","Democrat",0.23534819536421,"OH",2024-05-06,"Economy",0.55,0
241,333,"House","Democrat",-0.478741748814643,"CA",2024-08-18,"Agriculture",-0.06,1
242,456,"House","Democrat",0.619592428474078,"MS",2024-12-03,"Education",0.1,0
243,486,"House","Democrat",-0.541267096515181,"UT",2024-09-01,"Immigration",0.27,0
244,42,"House","Democrat",-0.834994978885557,"AL",2024-04-16,"Education",0.08,0
245,323,"House","Republican",-0.0898833815891076,"OK",2024-09-08,"Energy",-0.39,1
246,281,"House","Republican",0.610644209339147,"CT",2024-09-18,"Energy",-0.06,1
247,148,"House","Republican",0.0273410062026909,"RI",2024-07-15,"Technology",0.15,0
248,51,"House","Democrat",-0.130150572961417,"VA",2024-09-28,"Immigration",0.11,1
249,51,"House","Republican",-0.0432475563902503,"FL",2024-12-11,"Agriculture",0.06,0
250,439,"House","Democrat",0.0430802777554676,"TX",2024-06-12,"Education",-0.47,1
251,383,"House","Independent",0.0638895001834605,"NH",2024-01-07,"Education",0.23,0
252,478,"House","Republican",-0.42346380576827,"PA",2024-11-05,"Agriculture",0.2,1
253,227,"House","Republican",0.25439704283994,"IN",2024-02-05,"Economy",0.23,0
254,101,"House","Republican",0.635200368715004,"NC",2024-05-07,"Immigration",0.03,0
255,284,"House","Democrat",-0.230309390577808,"NV",2024-08-21,"Economy",0.12,0
256,490,"House","Republican",0.503375421073605,"HI",2024-06-13,"Agriculture",-0.08,1
257,263,"House","Republican",0.935662479894,"TX",2024-11-23,"Environment",0.47,0
258,419,"House","Democrat",-0.311171547865605,"UT",2024-10-06,"Energy",0.15,1
259,458,"House","Independent",-0.769554391161695,"NH",2024-10-22,"Education",-0.42,0
260,23,"Senate","Democrat",0.665518954620706,"MA",2024-03-27,"Technology",-0.52,1
261,190,"House","Democrat",0.0495288901475932,"AR",2024-08-07,"Education",0.17,0
262,261,"House","Republican",0.85588008350269,"MT",2024-11-03,"Economy",0.39,0
263,39,"House","Democrat",-0.1062892913603,"WV",2024-07-03,"Immigration",-0.06,1
264,474,"House","Democrat",0.669289981799042,"AZ",2024-07-13,"Health",-0.13,0
265,379,"House","Democrat",-0.220359647224353,"RI",2024-03-01,"Budget",-0.4,0
266,266,"House","Democrat",-0.788703173504311,"SD",2024-12-27,"Agriculture",-0.08,1
267,430,"House","Democrat",-0.257469110587883,"GA",2024-08-22,"Budget",0.38,1
268,252,"House","Republican",-0.576433903708113,"TX",2024-11-05,"Agriculture",0.27,0
269,514,"House","Independent",0.106949055203679,"NM",2024-02-04,"Health",0.21,0
270,214,"House","Republican",-0.24126344539962,"PA",2024-09-01,"Immigration",-0.1,1
271,363,"House","Democrat",0.151180302079598,"VA",2024-09-24,"Environment",0.66,1
272,462,"House","Republican",-0.234551035408022,"IA",2024-11-24,"Foreign Policy",-0.07,1
273,406,"House","Republican",-0.0989598044804785,"ID",2024-10-21,"Budget",0.04,0
274,443,"House","Democrat",-0.0849219811310173,"DE",2024-11-02,"Budget",-0.09,0
275,27,"House","Republican",0.703204405128673,"DE",2024-08-31,"Environment",-0.39,0
276,395,"House","Republican",-0.819844034090188,"MA",2024-01-04,"Agriculture",0.37,0
277,13,"House","Democrat",-0.0712026862059952,"IL",2024-06-10,"Education",-0.11,1
278,86,"House","Independent",-0.177260386102832,"WY",2024-01-16,"Technology",0.26,0
279,447,"House","Republican",-0.789996721907053,"NE",2024-08-15,"Environment",0.2,1
280,254,"House","Republican",0.230479819247183,"NY",2024-07-19,"Technology",0.39,0
281,173,"House","Democrat",-0.843078336285223,"MS",2024-04-19,"Agriculture",0.34,0
282,328,"House","Democrat",-0.555455345652711,"NE",2024-11-29,"Energy",0.6,1
283,184,"House","Republican",0.615892021073276,"PA",2024-03-11,"Technology",0.04,0
284,40,"Senate","Republican",-0.792882630559309,"WY",2024-10-01,"Economy",0.21,1
285,233,"House","Democrat",0.279552352448953,"AK",2024-12-02,"Foreign Policy",0.1,0
286,355,"House","Democrat",0.577066186037998,"NH",2024-01-06,"Health",0.04,1
287,313,"House","Republican",-0.0678988450148186,"CT",2024-08-04,"Budget",0.6,1
288,365,"House","Democrat",0.334978964816331,"AL",2024-05-14,"Immigration",0.64,1
289,22,"Senate","Democrat",0.0901210279988528,"ID",2024-03-25,"Education",0.05,1
290,467,"House","Republican",0.559830514987478,"KY",2024-12-07,"Environment",-0.43,1
291,446,"Senate","Democrat",0.863307472420293,"SC",2024-10-15,"Environment",-0.13,1
292,322,"House","Republican",0.0429685158181011,"NY",2024-02-12,"Immigration",-0.3,1
293,262,"House","Republican",0.197867196038694,"ID",2024-09-19,"Budget",-0.07,1
294,19,"House","Democrat",-0.142498056899828,"IL",2024-10-10,"Education",-0.03,1
295,321,"House","Democrat",0.490710987766597,"WY",2024-06-28,"Health",0.05,1
296,282,"Senate","Democrat",-0.331579446490083,"KS",2024-05-20,"Budget",-0.15,1
297,314,"House","Republican",-0.0124751036063968,"CA",2024-04-06,"Environment",0.03,0
298,354,"Senate","Democrat",-0.195554814277549,"CT",2024-11-23,"Immigration",-0.22,1
299,466,"House","Democrat",-0.123597969724274,"NV",2024-02-01,"Energy",-0.47,1
300,45,"House","Democrat",-0.184815699687879,"VA",2024-08-30,"Technology",0.89,1
301,194,"House","Independent",-0.466757199039821,"SD",2024-04-13,"Budget",-0.31,1
302,389,"House","Republican",-0.625419343698256,"NY",2024-05-31,"Foreign Policy",0.06,0
303,403,"House","Republican",0.0438829749780024,"IL",2024-01-31,"Foreign Policy",-0.34,1
304,449,"House","Republican",-0.214892923386522,"DE",2024-07-13,"Environment",-0.81,1
305,67,"Senate","Democrat",0.297409103434852,"WI",2024-08-13,"Environment",0.25,1
306,364,"House","Democrat",-0.301313570652715,"NC",2024-11-29,"Energy",0.24,0
307,360,"House","Independent",0.221472541647625,"DE",2024-06-03,"Agriculture",0.33,0
308,498,"House","Republican",-0.151215785185918,"WA",2024-04-01,"Education",0.14,1
309,303,"House","Democrat",-1.08156113684152,"ND",2024-06-28,"Energy",-0.33,1
310,280,"House","Independent",-0.14742905944676,"ME",2024-12-23,"Environment",-0.33,1
311,444,"House","Democrat",0.342487770003106,"FL",2024-12-08,"Agriculture",0.42,1
312,32,"House","Democrat",0.0698006190965203,"KS",2024-07-03,"Technology",-0.05,1
313,198,"House","Democrat",0.410592061961046,"AR",2024-06-19,"Education",-0.27,1
314,288,"House","Democrat",-0.651192638293109,"NM",2024-01-18,"Education",-0.17,1
315,462,"House","Republican",1.45821893555201,"TN",2024-10-10,"Economy",0.08,1
316,389,"House","Democrat",-0.458851549607055,"SC",2024-08-30,"Immigration",0.32,1
317,523,"House","Democrat",0.239184993605774,"AK",2024-12-23,"Environment",0.19,0
318,482,"House","Republican",-1.07537197280886,"CA",2024-10-03,"Foreign Policy",-0.4,0
319,358,"House","Democrat",-0.647785462308113,"AR",2024-06-12,"Technology",-0.07,1
320,342,"House","Republican",0.0809466189662282,"IN",2024-04-14,"Economy",0.01,0
